,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Detroit Red Wings,19951996,82,62,13,7,--,131,0.799,59,62,0,325,181,3.96,2.21,21.3,88.3,19.3,92.8,32.3,24.2,--,East,1
1,1,1,1,Colorado Avalanche,19951996,82,47,25,10,--,104,0.634,45,47,0,326,240,3.98,2.93,21.3,83.8,15.8,88.6,32.2,28.9,--,West,1
2,2,2,2,Philadelphia Flyers,19951996,82,45,24,13,--,103,0.628,41,45,0,282,208,3.44,2.54,19.7,85.8,18.0,88.6,30.9,25.9,--,East,1
3,3,3,3,Pittsburgh Penguins,19951996,82,49,29,4,--,102,0.622,46,49,0,362,284,4.41,3.46,26.0,83.3,23.1,87.2,32.3,34.6,--,East,1
4,4,4,4,New York Rangers,19951996,82,41,27,14,--,96,0.585,39,41,0,272,237,3.32,2.89,19.8,82.0,17.3,83.2,32.6,30.2,--,East,1
5,5,5,5,Chicago Blackhawks,19951996,82,40,28,14,--,94,0.573,39,40,0,273,220,3.33,2.68,17.7,85.5,15.7,88.4,27.3,28.5,--,West,1
6,6,6,6,Florida Panthers,19951996,82,41,31,10,--,92,0.561,41,41,0,254,234,3.1,2.85,17.3,83.0,14.7,86.0,28.8,27.9,--,East,1
7,7,7,7,Boston Bruins,19951996,82,40,31,11,--,91,0.555,38,40,0,282,269,3.44,3.28,18.7,80.4,16.8,84.2,34.6,26.9,--,East,1
8,8,8,8,Montréal Canadiens,19951996,82,40,32,10,--,90,0.5489999999999999,38,40,0,265,248,3.23,3.02,19.0,82.2,16.3,86.1,28.8,32.4,--,East,1
9,9,9,9,Washington Capitals,19951996,82,39,32,11,--,89,0.5429999999999999,35,39,0,234,204,2.85,2.49,15.6,82.6,13.9,85.7,30.1,24.9,--,East,1
10,10,10,10,Tampa Bay Lightning,19951996,82,38,32,12,--,88,0.537,35,38,0,238,248,2.9,3.02,20.8,84.5,17.5,85.9,31.0,29.6,--,East,1
11,11,11,11,New Jersey Devils,19951996,82,37,33,12,--,86,0.524,30,37,0,215,202,2.62,2.46,15.0,84.6,12.5,88.1,32.2,26.5,--,East,0
12,12,12,12,Toronto Maple Leafs,19951996,82,34,36,12,--,80,0.488,30,34,0,247,252,3.01,3.07,19.0,82.6,16.9,85.4,32.6,31.8,--,East,1
13,13,13,13,St. Louis Blues,19951996,82,32,34,16,--,80,0.488,31,32,0,219,248,2.67,3.02,16.5,83.0,14.7,85.3,31.1,29.8,--,West,1
14,14,14,14,Calgary Flames,19951996,82,34,37,11,--,79,0.48200000000000004,32,34,0,241,240,2.94,2.93,18.4,80.1,16.1,82.8,30.1,27.1,--,West,1
15,15,15,15,Vancouver Canucks,19951996,82,32,35,15,--,79,0.48200000000000004,31,32,0,278,278,3.39,3.39,16.8,81.3,13.6,85.7,30.1,30.2,--,West,1
16,16,16,16,Winnipeg Jets (1979),19951996,82,36,40,6,--,78,0.47600000000000003,34,36,0,275,291,3.35,3.55,19.7,79.5,16.8,81.9,29.4,33.7,--,West,1
17,17,17,17,Anaheim Ducks,19951996,82,35,39,8,--,78,0.47600000000000003,29,35,0,234,247,2.85,3.01,14.1,80.9,12.9,83.2,28.7,32.2,--,West,0
18,18,18,18,Hartford Whalers,19951996,82,34,39,9,--,77,0.47,32,34,0,237,259,2.89,3.16,18.0,80.7,15.6,82.5,30.4,33.7,--,East,0
19,19,19,19,Buffalo Sabres,19951996,82,33,42,7,--,73,0.445,31,33,0,247,262,3.01,3.2,15.9,84.0,13.4,86.1,28.5,35.5,--,East,0
20,20,20,20,Edmonton Oilers,19951996,82,30,44,8,--,68,0.415,26,30,0,240,304,2.93,3.71,15.9,80.8,13.3,83.2,30.0,30.4,--,West,0
21,21,21,21,Dallas Stars,19951996,82,26,42,14,--,66,0.402,25,26,0,227,280,2.77,3.41,15.1,80.4,10.6,82.3,30.1,30.8,--,West,0
22,22,22,22,Los Angeles Kings,19951996,82,24,40,18,--,66,0.402,21,24,0,256,302,3.12,3.68,18.0,81.1,13.5,84.3,31.4,35.4,--,West,0
23,23,23,23,New York Islanders,19951996,82,22,50,10,--,54,0.32899999999999996,20,22,0,229,315,2.79,3.84,18.8,78.3,14.8,80.2,28.2,32.0,--,East,0
24,24,24,24,San Jose Sharks,19951996,82,20,55,7,--,47,0.287,19,20,0,252,357,3.07,4.35,16.1,76.6,10.9,80.4,26.1,33.1,--,West,0
25,25,25,25,Ottawa Senators,19951996,82,18,59,5,--,41,0.25,18,18,0,191,291,2.33,3.55,12.3,77.9,9.1,79.5,26.9,30.5,--,East,0
