,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Detroit Red Wings,19941995,48,33,11,4,--,70,0.7290000000000001,33,33,0,180,117,3.75,2.44,24.2,86.4,20.9,88.8,32.7,25.1,--,East,1
1,1,1,1,Quebec Nordiques,19941995,48,30,13,5,--,65,0.677,29,30,0,185,134,3.85,2.79,24.2,81.3,22.6,85.7,30.2,30.3,--,East,1
2,2,2,2,Pittsburgh Penguins,19941995,48,29,16,3,--,61,0.635,28,29,0,181,158,3.77,3.29,19.0,79.9,17.2,83.4,29.2,32.9,--,East,1
3,3,3,3,St. Louis Blues,19941995,48,28,15,5,--,61,0.635,27,28,0,178,135,3.71,2.81,16.4,80.3,15.5,83.3,29.4,28.3,--,West,1
4,4,4,4,Philadelphia Flyers,19941995,48,28,16,4,--,60,0.625,25,28,0,150,132,3.13,2.75,19.6,80.8,15.2,81.9,27.4,26.9,--,East,1
5,5,5,5,Boston Bruins,19941995,48,27,18,3,--,57,0.594,25,27,0,150,127,3.13,2.65,21.8,86.9,19.9,88.5,34.4,24.3,--,East,1
6,6,6,6,Calgary Flames,19941995,48,24,17,7,--,55,0.573,23,24,0,163,135,3.4,2.81,18.5,85.1,17.1,88.0,30.2,29.3,--,West,1
7,7,7,7,Chicago Blackhawks,19941995,48,24,19,5,--,53,0.552,22,24,0,156,115,3.25,2.4,24.5,84.2,23.1,87.3,30.1,24.9,--,West,1
8,8,8,8,New Jersey Devils,19941995,48,22,18,8,--,52,0.542,21,22,0,136,121,2.83,2.52,13.4,81.2,11.6,83.2,30.1,25.4,--,East,1
9,9,9,9,Washington Capitals,19941995,48,22,18,8,--,52,0.542,22,22,0,136,120,2.83,2.5,19.9,84.6,19.0,90.5,28.9,24.8,--,East,1
10,10,10,10,Buffalo Sabres,19941995,48,22,19,7,--,51,0.531,21,22,0,130,119,2.71,2.48,18.6,85.5,15.7,91.4,26.6,30.4,--,East,1
11,11,11,11,Toronto Maple Leafs,19941995,48,21,19,8,--,50,0.521,21,21,0,135,146,2.81,3.04,17.0,84.9,14.7,87.6,31.7,31.9,--,East,1
12,12,12,12,Vancouver Canucks,19941995,48,18,18,12,--,48,0.5,18,18,0,153,148,3.19,3.08,19.8,83.5,15.6,86.4,32.9,29.6,--,West,1
13,13,13,13,New York Rangers,19941995,48,22,23,3,--,47,0.49,22,22,0,139,134,2.9,2.79,20.0,83.9,18.5,86.3,31.9,26.3,--,East,1
14,14,14,14,Florida Panthers,19941995,48,20,22,6,--,46,0.479,20,20,0,115,127,2.4,2.65,13.1,83.3,10.4,83.8,24.8,28.5,--,East,0
15,15,15,15,Hartford Whalers,19941995,48,19,24,5,--,43,0.44799999999999995,15,19,0,127,141,2.65,2.94,17.2,80.0,13.8,81.6,29.8,30.7,--,East,0
16,16,16,16,Montréal Canadiens,19941995,48,18,23,7,--,43,0.44799999999999995,17,18,0,125,148,2.6,3.08,16.3,80.6,14.5,81.2,28.7,31.9,--,East,0
17,17,17,17,San Jose Sharks,19941995,48,19,25,4,--,42,0.43799999999999994,18,19,0,129,161,2.69,3.35,11.8,81.3,9.4,84.1,24.0,31.6,--,West,1
18,18,18,18,Dallas Stars,19941995,48,17,23,8,--,42,0.43799999999999994,17,17,0,136,135,2.83,2.81,15.7,84.4,12.9,86.2,31.7,28.9,--,West,1
19,19,19,19,Los Angeles Kings,19941995,48,16,23,9,--,41,0.4270000000000001,16,16,0,142,174,2.96,3.63,17.5,81.0,13.5,83.3,30.1,34.8,--,West,0
20,20,20,20,Winnipeg Jets (1979),19941995,48,16,25,7,--,39,0.406,16,16,0,157,177,3.27,3.69,19.2,83.0,16.4,86.0,29.8,32.2,--,West,0
21,21,21,21,Edmonton Oilers,19941995,48,17,27,4,--,38,0.396,16,17,0,136,183,2.83,3.81,16.2,77.7,13.1,81.1,29.7,30.6,--,West,0
22,22,22,22,Tampa Bay Lightning,19941995,48,17,28,3,--,37,0.385,15,17,0,120,144,2.5,3.0,14.1,84.4,11.3,87.3,26.7,27.6,--,East,0
23,23,23,23,Anaheim Ducks,19941995,48,16,27,5,--,37,0.385,14,16,0,125,164,2.6,3.42,11.4,75.7,7.4,77.7,28.0,33.0,--,West,0
24,24,24,24,New York Islanders,19941995,48,15,28,5,--,35,0.365,14,15,0,126,158,2.63,3.29,15.7,78.4,9.6,80.3,28.3,30.2,--,East,0
25,25,25,25,Ottawa Senators,19941995,48,9,34,5,--,23,0.24,8,9,0,117,174,2.44,3.63,14.4,80.4,11.6,80.9,26.0,32.5,--,East,0
