,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Vancouver Canucks,20102011,82,54,19,--,9,117,0.713,46,50,4,258,180,3.15,2.2,24.3,85.6,23.7,87.5,32.0,30.1,54.9,West,1
1,1,1,1,Washington Capitals,20102011,82,48,23,--,11,107,0.652,34,43,5,219,191,2.67,2.33,17.5,85.6,15.6,88.0,31.3,29.0,51.7,East,1
2,2,2,2,Pittsburgh Penguins,20102011,82,49,25,--,8,106,0.6459999999999999,34,39,10,228,196,2.78,2.39,15.8,86.1,13.8,90.1,31.5,28.7,49.2,East,1
3,3,3,3,Philadelphia Flyers,20102011,82,47,23,--,12,106,0.6459999999999999,41,44,3,256,216,3.12,2.63,16.6,82.8,14.9,86.9,31.8,30.1,50.3,East,1
4,4,4,4,San Jose Sharks,20102011,82,48,25,--,9,105,0.64,38,43,5,243,208,2.96,2.54,23.5,79.6,21.1,81.8,34.5,28.9,53.7,West,1
5,5,5,5,Detroit Red Wings,20102011,82,47,25,--,10,104,0.634,34,43,4,257,237,3.13,2.89,22.3,82.3,19.9,84.0,33.6,30.7,51.9,East,1
6,6,6,6,Boston Bruins,20102011,82,46,25,--,11,103,0.628,43,44,2,244,189,2.98,2.3,16.2,82.6,14.3,86.8,32.9,32.7,51.9,East,1
7,7,7,7,Tampa Bay Lightning,20102011,82,46,25,--,11,103,0.628,32,40,6,241,234,2.94,2.85,20.5,83.8,15.8,84.1,31.8,28.7,50.4,East,1
8,8,8,8,Anaheim Ducks,20102011,82,47,30,--,5,99,0.604,34,43,4,235,233,2.87,2.84,23.5,81.3,21.1,83.6,28.5,32.3,47.7,West,1
9,9,9,9,Nashville Predators,20102011,82,44,27,--,11,99,0.604,36,38,6,213,190,2.6,2.32,15.2,84.9,14.5,86.8,28.8,30.6,50.2,West,1
10,10,10,10,Phoenix Coyotes,20102011,82,43,26,--,13,99,0.604,36,38,5,226,220,2.76,2.68,15.9,78.4,13.8,80.1,30.3,32.6,51.5,West,1
11,11,11,11,Los Angeles Kings,20102011,82,46,30,--,6,98,0.598,35,36,10,209,196,2.55,2.39,16.1,85.5,14.0,87.0,28.8,27.9,51.1,West,1
12,12,12,12,Chicago Blackhawks,20102011,82,44,29,--,9,97,0.591,34,38,6,252,220,3.07,2.68,23.1,79.2,21.7,81.6,32.2,28.7,50.8,West,1
13,13,13,13,Montréal Canadiens,20102011,82,44,30,--,8,96,0.585,36,41,3,213,206,2.6,2.51,19.7,84.4,17.6,85.9,31.7,31.0,49.0,East,1
14,14,14,14,Buffalo Sabres,20102011,82,43,29,--,10,96,0.585,28,38,5,240,228,2.93,2.78,19.4,83.0,14.7,83.7,32.8,30.7,47.7,East,1
15,15,15,15,Dallas Stars,20102011,82,42,29,--,11,95,0.579,32,37,5,222,226,2.71,2.76,18.0,80.1,13.1,83.8,27.7,30.5,50.0,West,0
16,16,16,16,Calgary Flames,20102011,82,41,29,--,12,94,0.573,30,32,9,241,230,2.94,2.8,19.5,81.2,16.7,83.7,30.5,28.5,48.2,West,0
17,17,17,17,New York Rangers,20102011,82,44,33,--,5,93,0.5670000000000001,32,35,9,224,195,2.73,2.38,16.9,83.7,15.2,87.9,29.9,29.4,47.7,East,1
18,18,18,18,Carolina Hurricanes,20102011,82,40,31,--,11,91,0.555,29,35,5,231,234,2.82,2.85,15.9,81.3,14.2,83.8,30.7,33.2,44.6,East,0
19,19,19,19,St. Louis Blues,20102011,82,38,33,--,11,87,0.53,31,34,4,236,228,2.88,2.78,18.6,81.7,18.3,84.2,30.2,27.7,47.3,West,0
20,20,20,20,Minnesota Wild,20102011,82,39,35,--,8,86,0.524,31,36,3,203,228,2.48,2.78,18.2,82.8,15.8,85.1,26.2,32.0,50.8,West,0
21,21,21,21,Toronto Maple Leafs,20102011,82,37,34,--,11,85,0.518,30,32,5,213,245,2.6,2.99,16.0,77.5,13.5,79.3,28.8,31.0,50.5,East,0
22,22,22,22,New Jersey Devils,20102011,82,38,39,--,5,81,0.494,28,35,3,171,207,2.09,2.52,14.4,83.4,11.0,84.7,28.6,26.2,51.2,East,0
23,23,23,23,Columbus Blue Jackets,20102011,82,34,35,--,13,81,0.494,24,29,5,210,250,2.56,3.05,14.0,80.3,10.3,82.2,30.6,29.8,51.2,East,0
24,24,24,24,Atlanta Thrashers,20102011,82,34,36,--,12,80,0.488,19,29,5,218,262,2.66,3.2,18.3,77.5,14.9,79.7,31.5,32.2,48.7,East,0
25,25,25,25,Ottawa Senators,20102011,82,32,40,--,10,74,0.451,28,30,2,190,245,2.32,2.99,17.5,83.7,16.0,85.7,29.0,31.2,50.8,East,0
26,26,26,26,New York Islanders,20102011,82,30,39,--,13,73,0.445,19,26,4,225,258,2.74,3.15,17.2,83.2,14.9,88.1,29.4,32.0,50.1,East,0
27,27,27,27,Florida Panthers,20102011,82,30,40,--,12,72,0.439,20,26,4,191,222,2.33,2.71,13.1,84.6,11.2,86.1,30.4,31.8,51.9,East,0
28,28,28,28,Colorado Avalanche,20102011,82,30,44,--,8,68,0.415,18,24,6,221,287,2.7,3.5,18.5,76.1,14.3,78.7,29.2,31.8,50.6,West,0
29,29,29,29,Edmonton Oilers,20102011,82,25,45,--,12,62,0.37799999999999995,21,23,2,191,260,2.33,3.17,14.5,77.0,13.8,79.4,26.7,31.7,44.2,West,0
