,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Detroit Red Wings,20072008,82,54,21,--,7,115,0.701,47,49,5,252,179,3.07,2.18,20.7,84.0,18.9,85.4,34.4,23.5,53.3,East,1
1,1,1,1,San Jose Sharks,20072008,82,49,23,--,10,108,0.659,40,43,6,216,187,2.63,2.28,18.7,85.8,16.3,88.1,29.6,24.2,51.2,West,1
2,2,2,2,Montréal Canadiens,20072008,82,47,25,--,10,104,0.634,37,42,5,257,216,3.13,2.63,24.1,82.5,23.3,84.8,29.1,31.6,49.0,East,1
3,3,3,3,Pittsburgh Penguins,20072008,82,47,27,--,8,102,0.622,39,40,7,240,212,2.93,2.59,20.4,81.0,17.7,82.6,27.7,30.8,46.1,East,1
4,4,4,4,Anaheim Ducks,20072008,82,47,27,--,8,102,0.622,35,39,8,197,184,2.4,2.24,16.6,83.1,14.7,85.1,27.3,28.0,50.2,West,1
5,5,5,5,New Jersey Devils,20072008,82,46,29,--,7,99,0.604,31,38,8,198,193,2.41,2.35,15.6,82.8,13.4,84.7,28.8,27.5,50.4,East,1
6,6,6,6,Minnesota Wild,20072008,82,44,28,--,10,98,0.598,35,41,3,220,210,2.68,2.56,18.9,85.2,16.0,86.1,27.0,30.1,47.3,West,1
7,7,7,7,Dallas Stars,20072008,82,45,30,--,7,97,0.591,37,40,5,237,204,2.89,2.49,18.1,85.6,15.8,89.3,26.7,26.1,50.4,West,1
8,8,8,8,New York Rangers,20072008,82,42,27,--,13,97,0.591,30,34,8,205,190,2.5,2.32,16.5,84.6,14.9,85.7,31.5,25.9,52.3,East,1
9,9,9,9,Colorado Avalanche,20072008,82,44,31,--,7,95,0.579,33,37,7,224,216,2.73,2.63,14.6,81.4,13.1,82.1,28.6,27.3,47.8,West,1
10,10,10,10,Philadelphia Flyers,20072008,82,42,29,--,11,95,0.579,36,39,3,245,227,2.99,2.77,21.8,83.3,20.3,86.6,28.8,31.8,49.3,East,1
11,11,11,11,Ottawa Senators,20072008,82,43,31,--,8,94,0.573,37,40,3,258,242,3.15,2.95,18.3,81.1,16.5,85.8,30.1,30.0,51.7,East,1
12,12,12,12,Washington Capitals,20072008,82,43,31,--,8,94,0.573,32,39,4,238,227,2.9,2.77,18.8,80.5,16.5,82.0,31.0,27.5,51.2,East,1
13,13,13,13,Calgary Flames,20072008,82,42,30,--,10,94,0.573,36,39,3,226,224,2.76,2.73,16.8,81.5,14.5,83.8,28.2,28.5,49.5,West,1
14,14,14,14,Boston Bruins,20072008,82,41,29,--,12,94,0.573,32,35,6,206,215,2.51,2.62,17.6,78.6,15.7,81.3,28.5,30.5,49.1,East,1
15,15,15,15,Carolina Hurricanes,20072008,82,43,33,--,6,92,0.561,36,41,2,250,246,3.05,3.0,18.8,78.9,15.7,80.0,32.5,28.9,49.4,East,0
16,16,16,16,Nashville Predators,20072008,82,41,32,--,9,91,0.555,33,38,3,227,224,2.77,2.73,14.8,85.4,12.0,87.5,29.6,29.8,50.5,West,1
17,17,17,17,Buffalo Sabres,20072008,82,39,31,--,12,90,0.5489999999999999,30,35,4,251,233,3.06,2.84,18.0,83.2,15.9,85.9,30.2,28.4,48.6,East,0
18,18,18,18,Edmonton Oilers,20072008,82,41,35,--,6,88,0.537,22,26,15,220,247,2.68,3.01,16.6,84.7,13.7,86.6,26.3,31.4,50.5,West,0
19,19,19,19,Chicago Blackhawks,20072008,82,40,34,--,8,88,0.537,31,35,5,234,231,2.85,2.82,15.9,82.1,14.3,86.5,28.0,28.6,52.3,West,0
20,20,20,20,Vancouver Canucks,20072008,82,39,33,--,10,88,0.537,29,33,6,207,206,2.52,2.51,17.1,82.6,15.2,84.8,27.5,28.9,48.7,West,0
21,21,21,21,Florida Panthers,20072008,82,38,35,--,9,85,0.518,29,33,5,211,220,2.57,2.68,19.2,82.4,18.2,83.4,31.1,33.6,48.8,East,0
22,22,22,22,Phoenix Coyotes,20072008,82,38,37,--,7,83,0.506,29,33,5,209,225,2.55,2.74,18.6,80.7,15.0,84.0,30.5,30.7,48.6,West,0
23,23,23,23,Toronto Maple Leafs,20072008,82,36,35,--,11,83,0.506,28,33,3,228,256,2.78,3.12,17.8,78.1,14.9,79.3,31.0,29.3,49.8,East,0
24,24,24,24,Columbus Blue Jackets,20072008,82,34,36,--,12,80,0.488,29,31,3,190,210,2.32,2.56,14.9,83.3,13.5,85.5,29.0,27.4,52.3,East,0
25,25,25,25,New York Islanders,20072008,82,35,38,--,9,79,0.48200000000000004,25,30,5,189,240,2.3,2.93,14.6,81.9,10.0,84.5,29.7,30.3,51.1,East,0
26,26,26,26,St. Louis Blues,20072008,82,33,36,--,13,79,0.48200000000000004,29,30,3,202,232,2.46,2.83,14.1,84.4,10.2,85.2,26.1,27.4,51.8,West,0
27,27,27,27,Atlanta Thrashers,20072008,82,34,40,--,8,76,0.46299999999999997,19,25,9,207,266,2.52,3.24,16.5,78.8,13.3,82.5,25.8,33.9,51.8,East,0
28,28,28,28,Los Angeles Kings,20072008,82,32,43,--,7,71,0.433,25,27,5,226,263,2.76,3.21,17.4,78.0,16.4,81.6,28.6,32.0,47.8,West,0
29,29,29,29,Tampa Bay Lightning,20072008,82,31,42,--,9,71,0.433,27,29,2,221,266,2.7,3.24,19.3,82.1,16.9,84.3,28.7,28.2,49.7,East,0
