,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Pittsburgh Penguins,19921993,84,56,21,7,--,119,0.708,53,56,0,367,268,4.37,3.19,23.9,83.2,19.6,87.9,32.4,30.7,--,East,1
1,1,1,1,Boston Bruins,19921993,84,51,26,7,--,109,0.649,46,51,0,332,268,3.95,3.19,20.9,83.1,19.1,87.7,34.4,26.1,--,East,1
2,2,2,2,Chicago Blackhawks,19921993,84,47,25,12,--,106,0.631,46,47,0,279,230,3.32,2.74,18.4,83.5,16.5,86.3,32.2,27.3,--,West,1
3,3,3,3,Quebec Nordiques,19921993,84,47,27,10,--,104,0.619,43,47,0,351,300,4.18,3.57,21.8,80.6,18.3,85.4,30.0,30.3,--,East,1
4,4,4,4,Detroit Red Wings,19921993,84,47,28,9,--,103,0.613,45,47,0,369,280,4.39,3.33,24.9,81.2,22.7,85.5,32.9,28.9,--,East,1
5,5,5,5,Montréal Canadiens,19921993,84,48,30,6,--,102,0.607,43,48,0,326,280,3.88,3.33,18.4,82.0,15.4,83.8,31.8,30.0,--,East,1
6,6,6,6,Vancouver Canucks,19921993,84,46,29,9,--,101,0.601,45,46,0,346,278,4.12,3.31,17.3,78.5,14.9,82.5,31.7,29.4,--,West,1
7,7,7,7,Toronto Maple Leafs,19921993,84,44,29,11,--,99,0.589,43,44,0,288,241,3.43,2.87,21.0,82.4,18.7,85.0,30.4,29.0,--,East,1
8,8,8,8,Calgary Flames,19921993,84,43,30,11,--,97,0.5770000000000001,39,43,0,322,282,3.83,3.36,19.0,83.1,17.0,86.2,31.4,29.5,--,West,1
9,9,9,9,Washington Capitals,19921993,84,43,34,7,--,93,0.5539999999999999,41,43,0,325,286,3.87,3.4,21.8,82.9,20.0,85.2,32.2,28.4,--,East,1
10,10,10,10,Los Angeles Kings,19921993,84,39,35,10,--,88,0.524,37,39,0,338,340,4.02,4.05,20.1,78.5,17.0,81.5,34.0,34.4,--,West,1
11,11,11,11,New Jersey Devils,19921993,84,40,37,7,--,87,0.518,36,40,0,308,299,3.67,3.56,19.3,81.4,14.5,83.3,33.0,29.8,--,East,1
12,12,12,12,New York Islanders,19921993,84,40,37,7,--,87,0.518,37,40,0,335,297,3.99,3.54,21.6,79.5,19.7,82.7,31.0,29.4,--,East,1
13,13,13,13,Winnipeg Jets (1979),19921993,84,40,37,7,--,87,0.518,38,40,0,322,320,3.83,3.81,20.9,81.7,18.0,82.4,30.7,32.7,--,West,1
14,14,14,14,Buffalo Sabres,19921993,84,38,36,10,--,86,0.512,34,38,0,335,297,3.99,3.54,20.3,83.5,16.7,86.5,31.8,31.9,--,East,1
15,15,15,15,St. Louis Blues,19921993,84,37,36,11,--,85,0.506,35,37,0,282,278,3.36,3.31,21.9,83.7,18.4,87.0,29.0,33.8,--,West,1
16,16,16,16,Philadelphia Flyers,19921993,84,36,37,11,--,83,0.494,32,36,0,319,319,3.8,3.8,18.1,77.4,15.3,81.0,29.8,31.8,--,East,0
17,17,17,17,Minnesota North Stars,19921993,84,36,38,10,--,82,0.488,36,36,0,272,293,3.24,3.49,19.1,82.2,15.3,84.2,31.8,29.6,--,West,0
18,18,18,18,New York Rangers,19921993,84,34,39,11,--,79,0.47,32,34,0,304,308,3.62,3.67,18.3,81.2,14.1,83.9,33.3,33.7,--,East,0
19,19,19,19,Edmonton Oilers,19921993,84,26,50,8,--,60,0.35700000000000004,21,26,0,242,337,2.88,4.01,15.9,77.2,13.5,80.8,27.9,33.8,--,West,0
20,20,20,20,Hartford Whalers,19921993,84,26,52,6,--,58,0.345,23,26,0,284,369,3.38,4.39,17.6,78.3,14.4,80.7,26.1,34.1,--,East,0
21,21,21,21,Tampa Bay Lightning,19921993,84,23,54,7,--,53,0.315,20,23,0,245,332,2.92,3.95,17.5,74.4,14.6,76.5,30.2,30.4,--,East,0
22,22,22,22,San Jose Sharks,19921993,84,11,71,2,--,24,0.14300000000000002,8,11,0,218,414,2.6,4.93,16.1,76.6,12.5,79.3,28.4,36.7,--,West,0
23,23,23,23,Ottawa Senators,19921993,84,10,70,4,--,24,0.14300000000000002,10,10,0,202,395,2.4,4.7,14.7,75.0,12.3,76.5,27.2,31.8,--,East,0
