,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,St. Louis Blues,19992000,82,51,19,11,1,114,0.695,46,51,0,248,165,3.02,2.01,17.8,87.8,17.0,91.6,29.8,22.1,52.1,West,1
1,1,1,1,Detroit Red Wings,19992000,82,48,22,10,2,108,0.659,44,48,0,278,210,3.39,2.56,20.4,85.9,18.6,90.7,32.0,26.5,53.4,East,1
2,2,2,2,Philadelphia Flyers,19992000,82,45,22,12,3,105,0.64,39,45,0,237,179,2.89,2.18,20.3,86.7,18.2,88.9,30.4,23.6,51.7,East,1
3,3,3,3,New Jersey Devils,19992000,82,45,24,8,5,103,0.628,42,45,0,251,203,3.06,2.48,20.1,87.5,16.8,90.4,33.1,25.6,49.3,East,1
4,4,4,4,Washington Capitals,19992000,82,44,24,12,2,102,0.622,39,44,0,227,194,2.77,2.37,15.0,86.2,13.9,88.9,27.7,27.7,53.3,East,1
5,5,5,5,Dallas Stars,19992000,82,43,23,10,6,102,0.622,40,43,0,211,184,2.57,2.24,15.7,89.3,13.1,92.2,25.6,26.6,52.6,West,1
6,6,6,6,Toronto Maple Leafs,19992000,82,45,27,7,3,100,0.61,38,45,0,246,222,3.0,2.71,17.8,82.4,16.2,85.8,26.4,29.1,50.8,East,1
7,7,7,7,Florida Panthers,19992000,82,43,27,6,6,98,0.598,40,43,0,244,209,2.98,2.55,17.2,85.5,14.8,86.1,26.8,29.6,46.2,East,1
8,8,8,8,Colorado Avalanche,19992000,82,42,28,11,1,96,0.585,37,42,0,233,201,2.84,2.45,19.5,84.5,17.2,85.4,26.7,27.8,51.5,West,1
9,9,9,9,Ottawa Senators,19992000,82,41,28,11,2,95,0.579,39,41,0,244,210,2.98,2.56,16.8,87.6,14.2,89.7,31.5,25.2,50.4,East,1
10,10,10,10,Los Angeles Kings,19992000,82,39,27,12,4,94,0.573,34,39,0,245,228,2.99,2.78,16.9,82.3,13.5,83.4,29.5,27.9,51.8,West,1
11,11,11,11,Phoenix Coyotes,19992000,82,39,31,8,4,90,0.5489999999999999,35,39,0,232,228,2.83,2.78,11.9,86.0,9.7,90.5,27.0,28.5,50.4,West,1
12,12,12,12,Pittsburgh Penguins,19992000,82,37,31,8,6,88,0.537,34,37,0,241,236,2.94,2.88,15.6,82.6,12.4,84.7,26.1,28.7,48.0,East,1
13,13,13,13,Edmonton Oilers,19992000,82,32,26,16,8,88,0.537,28,32,0,226,212,2.76,2.59,15.8,85.4,14.6,87.8,28.2,28.3,51.1,West,1
14,14,14,14,San Jose Sharks,19992000,82,35,30,10,7,87,0.53,31,35,0,225,214,2.74,2.61,16.5,83.6,15.4,87.9,27.4,28.7,49.3,West,1
15,15,15,15,Buffalo Sabres,19992000,82,35,32,11,4,85,0.518,30,35,0,213,204,2.6,2.49,10.5,85.0,7.7,87.3,27.2,26.9,47.9,East,1
16,16,16,16,Carolina Hurricanes,19992000,82,37,35,10,0,84,0.512,33,37,0,217,216,2.65,2.63,17.0,84.2,14.9,85.4,26.4,26.1,50.4,East,0
17,17,17,17,Montréal Canadiens,19992000,82,35,34,9,4,83,0.506,31,35,0,196,194,2.39,2.37,16.7,86.8,14.2,89.1,26.0,27.6,48.9,East,0
18,18,18,18,Anaheim Ducks,19992000,82,34,33,12,3,83,0.506,31,34,0,217,227,2.65,2.77,16.6,79.1,14.2,80.4,28.7,27.5,49.1,West,0
19,19,19,19,Vancouver Canucks,19992000,82,30,29,15,8,83,0.506,26,30,0,227,237,2.77,2.89,15.8,80.4,13.6,83.2,26.7,28.0,49.8,West,0
20,20,20,20,Chicago Blackhawks,19992000,82,33,37,10,2,78,0.47600000000000003,28,33,0,242,245,2.95,2.99,16.0,83.7,12.0,86.5,25.7,29.2,47.5,West,0
21,21,21,21,Calgary Flames,19992000,82,31,36,10,5,77,0.47,20,31,0,211,256,2.57,3.12,17.9,79.7,15.5,80.8,30.1,29.0,49.2,West,0
22,22,22,22,New York Rangers,19992000,82,29,38,12,3,73,0.445,23,29,0,218,246,2.66,3.0,16.9,83.2,14.2,84.9,29.5,29.8,53.1,East,0
23,23,23,23,Boston Bruins,19992000,82,24,33,19,6,73,0.445,23,24,0,210,248,2.56,3.02,14.4,79.5,13.2,79.5,30.7,27.7,49.0,East,0
24,24,24,24,Nashville Predators,19992000,82,28,40,7,7,70,0.4270000000000001,24,28,0,199,240,2.43,2.93,13.5,85.1,9.9,88.0,27.0,30.5,49.1,West,0
25,25,25,25,New York Islanders,19992000,82,24,48,9,1,58,0.354,19,24,0,194,275,2.37,3.35,14.1,80.0,11.6,81.9,26.2,33.4,47.9,East,0
26,26,26,26,Tampa Bay Lightning,19992000,82,19,47,9,7,54,0.32899999999999996,19,19,0,204,310,2.49,3.78,14.0,80.7,12.1,83.0,25.4,30.4,50.4,East,0
27,27,27,27,Atlanta Thrashers,19992000,82,14,57,7,4,39,0.23800000000000002,14,14,0,170,313,2.07,3.82,12.6,80.3,8.9,81.9,25.8,31.0,46.1,East,0
