,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Ottawa Senators,20022003,82,52,21,8,1,113,0.6890000000000001,45,52,0,263,182,3.21,2.22,21.2,84.9,19.2,86.1,29.8,24.8,47.1,East,1
1,1,1,1,Dallas Stars,20022003,82,46,17,15,4,111,0.677,41,46,0,245,169,2.99,2.06,19.0,85.6,17.1,88.2,30.1,25.3,50.2,West,1
2,2,2,2,Detroit Red Wings,20022003,82,48,20,10,4,110,0.6709999999999999,41,48,0,269,203,3.28,2.48,23.8,85.4,22.6,88.3,29.8,28.8,52.2,East,1
3,3,3,3,New Jersey Devils,20022003,82,46,20,10,6,108,0.659,38,46,0,216,166,2.63,2.02,11.9,87.9,10.6,90.5,31.7,23.6,50.7,East,1
4,4,4,4,Philadelphia Flyers,20022003,82,45,20,13,4,107,0.652,39,45,0,211,166,2.57,2.02,14.3,85.2,11.9,87.6,30.9,24.6,52.2,East,1
5,5,5,5,Colorado Avalanche,20022003,82,42,19,13,8,105,0.64,35,42,0,251,194,3.06,2.37,18.7,82.5,17.1,83.8,29.1,28.3,47.9,West,1
6,6,6,6,Vancouver Canucks,20022003,82,45,23,13,1,104,0.634,40,45,0,264,208,3.22,2.54,20.7,84.1,18.3,87.2,29.1,26.6,49.8,West,1
7,7,7,7,St. Louis Blues,20022003,82,41,24,11,6,99,0.604,35,41,0,253,222,3.09,2.71,20.5,81.8,18.7,84.6,28.1,25.0,49.0,West,1
8,8,8,8,Toronto Maple Leafs,20022003,82,44,28,7,3,98,0.598,37,44,0,236,208,2.88,2.54,17.6,86.9,15.6,89.4,26.3,29.5,50.7,East,1
9,9,9,9,Minnesota Wild,20022003,82,42,29,10,1,95,0.579,34,42,0,198,178,2.41,2.17,14.2,86.0,12.8,89.0,25.4,28.5,46.8,West,1
