,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Colorado Avalanche,19961997,82,49,24,9,--,107,0.652,46,49,0,277,205,3.38,2.5,20.6,87.6,17.6,91.7,32.0,30.2,--,West,1
1,1,1,1,Dallas Stars,19961997,82,48,26,8,--,104,0.634,44,48,0,252,198,3.07,2.41,14.7,83.4,11.8,87.0,29.7,25.3,--,West,1
2,2,2,2,New Jersey Devils,19961997,82,45,23,14,--,104,0.634,44,45,0,231,182,2.82,2.22,13.9,88.1,10.8,89.8,31.6,26.3,--,East,1
3,3,3,3,Philadelphia Flyers,19961997,82,45,24,13,--,103,0.628,42,45,0,274,217,3.34,2.65,14.6,85.7,12.4,88.9,32.2,25.7,--,East,1
4,4,4,4,Detroit Red Wings,19961997,82,38,26,18,--,94,0.573,31,38,0,253,197,3.09,2.4,17.9,86.7,15.8,89.6,33.2,25.3,--,East,1
5,5,5,5,Buffalo Sabres,19961997,82,40,30,12,--,92,0.561,35,40,0,237,208,2.89,2.54,13.2,83.8,12.0,88.2,25.5,33.3,--,East,1
6,6,6,6,Florida Panthers,19961997,82,35,28,19,--,89,0.5429999999999999,32,35,0,221,201,2.7,2.45,14.2,85.6,9.4,87.0,29.1,28.8,--,East,1
7,7,7,7,New York Rangers,19961997,82,38,34,10,--,86,0.524,35,38,0,258,231,3.15,2.82,22.0,79.9,20.2,84.3,30.8,31.6,--,East,1
8,8,8,8,Anaheim Ducks,19961997,82,36,33,13,--,85,0.518,33,36,0,245,233,2.99,2.84,16.8,81.6,13.5,84.2,28.4,32.8,--,West,1
9,9,9,9,Pittsburgh Penguins,19961997,82,38,36,8,--,84,0.512,37,38,0,285,280,3.48,3.41,21.8,81.1,18.3,84.3,29.4,34.3,--,East,1
10,10,10,10,Phoenix Coyotes,19961997,82,38,37,7,--,83,0.506,33,38,0,240,243,2.93,2.96,18.1,85.9,14.2,88.6,30.1,30.7,--,West,1
11,11,11,11,St. Louis Blues,19961997,82,36,35,11,--,83,0.506,35,36,0,236,239,2.88,2.91,15.3,83.4,12.8,86.1,29.5,27.4,--,West,1
12,12,12,12,Edmonton Oilers,19961997,82,36,37,9,--,81,0.494,35,36,0,252,247,3.07,3.01,18.0,82.5,14.8,85.2,30.7,31.2,--,West,1
13,13,13,13,Chicago Blackhawks,19961997,82,34,35,13,--,81,0.494,33,34,0,223,210,2.72,2.56,14.8,84.2,11.8,85.6,30.4,29.5,--,West,1
14,14,14,14,Vancouver Canucks,19961997,82,35,40,7,--,77,0.47,30,35,0,257,273,3.13,3.33,16.8,80.8,14.2,84.3,28.1,30.2,--,West,0
15,15,15,15,Montréal Canadiens,19961997,82,31,36,15,--,77,0.47,29,31,0,249,276,3.04,3.37,15.7,79.5,12.5,82.4,30.2,33.9,--,East,1
16,16,16,16,Ottawa Senators,19961997,82,31,36,15,--,77,0.47,31,31,0,226,234,2.76,2.85,16.7,81.9,13.1,85.3,29.2,25.8,--,East,1
17,17,17,17,Washington Capitals,19961997,82,33,40,9,--,75,0.457,31,33,0,214,231,2.61,2.82,15.8,84.8,12.7,87.0,28.9,26.4,--,East,0
18,18,18,18,Hartford Whalers,19961997,82,32,39,11,--,75,0.457,29,32,0,226,256,2.76,3.12,18.1,84.6,14.6,88.3,29.7,31.5,--,East,0
19,19,19,19,Tampa Bay Lightning,19961997,82,32,40,10,--,74,0.451,28,32,0,217,247,2.65,3.01,13.8,84.8,11.2,88.4,31.4,28.8,--,East,0
20,20,20,20,Calgary Flames,19961997,82,32,41,9,--,73,0.445,29,32,0,214,239,2.61,2.91,16.9,83.2,11.6,86.4,31.4,28.5,--,West,0
21,21,21,21,New York Islanders,19961997,82,29,41,12,--,70,0.4270000000000001,26,29,0,240,250,2.93,3.05,13.9,83.4,11.3,87.8,26.7,30.3,--,East,0
22,22,22,22,Toronto Maple Leafs,19961997,82,30,44,8,--,68,0.415,29,30,0,230,273,2.8,3.33,15.5,82.0,12.9,85.4,29.3,34.4,--,East,0
23,23,23,23,Los Angeles Kings,19961997,82,28,43,11,--,67,0.409,28,28,0,214,268,2.61,3.27,13.6,87.2,9.5,88.6,29.0,33.9,--,West,0
24,24,24,24,San Jose Sharks,19961997,82,27,47,8,--,62,0.37799999999999995,24,27,0,211,278,2.57,3.39,14.3,83.9,11.2,86.1,28.8,29.2,--,West,0
25,25,25,25,Boston Bruins,19961997,82,26,47,9,--,61,0.3720000000000001,23,26,0,234,300,2.85,3.66,14.8,81.8,12.9,86.7,29.6,29.6,--,East,0
