,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Washington Capitals,20152016,82,56,18,--,8,120,0.732,45,52,4,248,191,3.02,2.33,21.9,85.2,19.9,85.9,30.6,28.4,49.6,East,1
1,1,1,1,Dallas Stars,20152016,82,50,23,--,9,109,0.665,42,48,2,265,228,3.23,2.78,22.1,82.3,16.4,86.3,32.0,28.9,50.2,West,1
2,2,2,2,St. Louis Blues,20152016,82,49,24,--,9,107,0.652,36,44,5,219,197,2.67,2.4,21.5,85.2,19.4,86.6,30.2,29.7,51.3,West,1
3,3,3,3,Pittsburgh Penguins,20152016,82,48,26,--,8,104,0.634,38,44,4,241,199,2.94,2.43,18.4,84.4,16.5,88.7,33.2,29.7,50.2,East,1
4,4,4,4,Florida Panthers,20152016,82,47,26,--,9,103,0.628,39,40,7,232,200,2.83,2.44,16.9,79.5,15.1,81.3,28.8,29.5,50.1,East,1
5,5,5,5,Chicago Blackhawks,20152016,82,47,26,--,9,103,0.628,36,46,1,234,207,2.85,2.52,22.6,80.3,21.4,84.6,30.5,30.8,49.3,West,1
6,6,6,6,Anaheim Ducks,20152016,82,46,25,--,11,103,0.628,39,43,3,215,188,2.62,2.29,23.1,87.2,21.9,89.7,30.3,27.5,51.9,West,1
7,7,7,7,Los Angeles Kings,20152016,82,48,28,--,6,102,0.622,34,46,2,223,192,2.72,2.34,20.0,81.4,18.7,83.2,32.0,27.5,50.5,West,1
8,8,8,8,New York Rangers,20152016,82,46,27,--,9,101,0.616,39,43,3,233,215,2.84,2.62,18.6,78.2,16.4,79.4,28.5,30.4,49.2,East,1
9,9,9,9,New York Islanders,20152016,82,45,27,--,10,100,0.61,34,40,5,227,211,2.77,2.57,18.3,84.5,15.7,87.5,29.4,30.4,50.1,East,1
10,10,10,10,San Jose Sharks,20152016,82,46,30,--,6,98,0.598,37,42,4,237,207,2.89,2.52,22.6,80.5,20.0,83.1,30.4,27.4,50.7,West,1
11,11,11,11,Tampa Bay Lightning,20152016,82,46,31,--,5,97,0.591,36,43,3,224,198,2.73,2.41,15.8,84.1,13.3,86.8,29.3,28.9,49.5,East,1
12,12,12,12,Philadelphia Flyers,20152016,82,41,27,--,14,96,0.585,28,38,3,211,210,2.57,2.56,18.9,80.5,16.1,81.7,31.0,30.7,51.0,East,1
13,13,13,13,Nashville Predators,20152016,82,41,27,--,14,96,0.585,35,37,4,224,213,2.73,2.6,19.7,81.2,18.9,84.1,30.6,27.3,48.7,West,1
14,14,14,14,Boston Bruins,20152016,82,42,31,--,9,93,0.5670000000000001,33,38,4,236,228,2.88,2.78,20.5,82.2,18.8,85.6,32.0,30.4,50.4,East,0
15,15,15,15,Detroit Red Wings,20152016,82,41,30,--,11,93,0.5670000000000001,30,39,2,209,219,2.55,2.67,18.8,81.6,17.3,82.3,29.7,29.7,50.5,East,1
16,16,16,16,Minnesota Wild,20152016,82,38,33,--,11,87,0.53,34,35,3,213,204,2.6,2.49,18.5,77.9,16.2,81.4,29.0,28.6,52.5,West,1
17,17,17,17,Carolina Hurricanes,20152016,82,35,31,--,16,86,0.524,25,33,2,196,221,2.39,2.7,16.8,84.3,14.7,85.8,29.9,27.6,53.7,East,0
18,18,18,18,Ottawa Senators,20152016,82,38,35,--,9,85,0.518,26,32,6,230,241,2.8,2.94,15.8,75.8,14.6,82.5,28.4,32.8,50.6,East,0
19,19,19,19,New Jersey Devils,20152016,82,38,36,--,8,84,0.512,27,36,2,182,202,2.22,2.46,19.9,83.0,16.8,84.9,24.4,28.6,46.4,East,0
20,20,20,20,Colorado Avalanche,20152016,82,39,39,--,4,82,0.5,33,35,4,212,240,2.59,2.93,18.1,80.2,14.7,83.0,28.6,32.3,49.9,West,0
21,21,21,21,Montréal Canadiens,20152016,82,38,38,--,6,82,0.5,30,33,5,216,233,2.63,2.84,16.2,81.9,12.0,85.0,30.5,29.4,50.3,East,0
22,22,22,22,Buffalo Sabres,20152016,82,35,36,--,11,81,0.494,29,33,2,199,215,2.43,2.62,18.9,82.6,16.5,85.3,29.5,30.6,49.4,East,0
23,23,23,23,Winnipeg Jets,20152016,82,35,39,--,8,78,0.47600000000000003,29,32,3,212,236,2.59,2.88,14.8,78.4,13.2,81.9,29.6,29.5,46.7,West,0
24,24,24,24,Arizona Coyotes,20152016,82,35,39,--,8,78,0.47600000000000003,29,34,1,208,244,2.54,2.98,17.7,77.3,13.0,78.6,27.6,31.0,54.7,West,0
25,25,25,25,Calgary Flames,20152016,82,35,40,--,7,77,0.47,24,33,2,229,257,2.79,3.13,17.0,75.5,14.4,79.8,29.2,29.0,48.6,West,0
26,26,26,26,Columbus Blue Jackets,20152016,82,34,40,--,8,76,0.46299999999999997,26,28,6,213,248,2.6,3.02,17.3,81.0,14.1,82.1,29.1,31.1,49.0,East,0
27,27,27,27,Vancouver Canucks,20152016,82,31,38,--,13,75,0.457,22,26,5,186,239,2.27,2.91,15.8,81.1,12.6,82.7,28.2,32.5,45.4,West,0
28,28,28,28,Edmonton Oilers,20152016,82,31,43,--,8,70,0.4270000000000001,20,27,4,199,242,2.43,2.95,18.1,81.1,15.6,83.1,29.1,31.1,48.8,West,0
29,29,29,29,Toronto Maple Leafs,20152016,82,29,42,--,11,69,0.42100000000000004,20,23,6,192,240,2.34,2.93,15.4,81.6,12.4,82.7,30.7,30.5,50.6,East,0
