,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Dallas Stars,19981999,82,51,19,12,--,114,0.695,48,51,0,236,168,2.88,2.05,18.8,86.5,17.8,88.4,27.6,24.0,53.2,West,1
1,1,1,1,New Jersey Devils,19981999,82,47,24,11,--,105,0.64,44,47,0,248,196,3.02,2.39,19.7,85.5,18.1,87.7,31.3,24.7,50.0,East,1
2,2,2,2,Ottawa Senators,19981999,82,44,23,15,--,103,0.628,43,44,0,239,179,2.91,2.18,14.9,86.1,11.6,88.0,30.5,25.2,48.3,East,1
3,3,3,3,Colorado Avalanche,19981999,82,44,28,10,--,98,0.598,42,44,0,239,205,2.91,2.5,18.9,83.7,15.7,85.5,28.0,27.8,50.6,West,1
4,4,4,4,Toronto Maple Leafs,19981999,82,45,30,7,--,97,0.591,39,45,0,268,231,3.27,2.82,14.4,80.3,12.8,82.5,28.3,28.8,50.0,East,1
5,5,5,5,Detroit Red Wings,19981999,82,43,32,7,--,93,0.5670000000000001,41,43,0,245,202,2.99,2.46,16.1,87.3,14.5,91.3,32.0,27.0,53.2,East,1
6,6,6,6,Philadelphia Flyers,19981999,82,37,26,19,--,93,0.5670000000000001,35,37,0,231,196,2.82,2.39,16.8,84.1,15.0,85.3,29.9,22.9,55.4,East,1
7,7,7,7,Boston Bruins,19981999,82,39,30,13,--,91,0.555,37,39,0,214,181,2.61,2.21,17.7,89.2,15.2,90.2,27.6,27.1,51.8,East,1
8,8,8,8,Buffalo Sabres,19981999,82,37,28,17,--,91,0.555,34,37,0,207,175,2.52,2.13,13.5,86.2,11.6,87.7,26.2,30.0,48.0,East,1
9,9,9,9,Phoenix Coyotes,19981999,82,39,31,12,--,90,0.5489999999999999,37,39,0,205,197,2.5,2.4,12.0,87.1,10.5,89.4,29.2,27.4,49.1,West,1
10,10,10,10,Pittsburgh Penguins,19981999,82,38,30,14,--,90,0.5489999999999999,31,38,0,242,225,2.95,2.74,17.9,81.5,14.1,84.8,25.5,26.0,49.2,East,1
11,11,11,11,St. Louis Blues,19981999,82,37,32,13,--,87,0.53,36,37,0,237,209,2.89,2.55,20.3,87.9,18.9,89.7,30.1,22.8,52.2,West,1
12,12,12,12,Carolina Hurricanes,19981999,82,34,30,18,--,86,0.524,33,34,0,210,202,2.56,2.46,11.0,85.3,9.4,86.7,26.1,29.3,49.6,East,1
13,13,13,13,Anaheim Ducks,19981999,82,35,34,13,--,83,0.506,34,35,0,215,206,2.62,2.51,22.0,84.5,20.1,86.1,28.4,31.7,49.0,West,1
14,14,14,14,San Jose Sharks,19981999,82,31,33,18,--,80,0.488,30,31,0,196,191,2.39,2.33,13.3,85.0,12.3,87.0,26.1,27.0,47.4,West,1
15,15,15,15,Edmonton Oilers,19981999,82,33,37,12,--,78,0.47600000000000003,30,33,0,230,226,2.8,2.76,14.4,82.1,12.1,84.2,29.2,27.1,48.5,West,1
16,16,16,16,Florida Panthers,19981999,82,30,34,18,--,78,0.47600000000000003,29,30,0,210,228,2.56,2.78,13.4,81.9,10.5,84.6,28.1,28.7,44.9,East,0
17,17,17,17,New York Rangers,19981999,82,33,38,11,--,77,0.47,28,33,0,217,227,2.65,2.77,20.4,85.7,17.8,87.8,25.4,30.2,49.0,East,0
18,18,18,18,Montréal Canadiens,19981999,82,32,39,11,--,75,0.457,32,32,0,184,209,2.24,2.55,14.5,87.2,11.6,89.5,27.7,26.9,48.5,East,0
19,19,19,19,Calgary Flames,19981999,82,30,40,12,--,72,0.439,27,30,0,211,234,2.57,2.85,14.3,79.8,12.6,82.9,28.6,29.5,47.7,West,0
20,20,20,20,Chicago Blackhawks,19981999,82,29,41,12,--,70,0.4270000000000001,28,29,0,202,248,2.46,3.02,14.9,80.3,11.9,82.2,26.2,29.3,51.5,West,0
21,21,21,21,Los Angeles Kings,19981999,82,32,45,5,--,69,0.42100000000000004,27,32,0,189,222,2.3,2.71,13.2,85.8,9.8,89.4,28.3,30.0,50.2,West,0
22,22,22,22,Washington Capitals,19981999,82,31,45,6,--,68,0.415,29,31,0,200,218,2.44,2.66,17.3,84.4,15.0,86.7,29.0,26.1,53.4,East,0
23,23,23,23,Nashville Predators,19981999,82,28,47,7,--,63,0.384,27,28,0,190,261,2.32,3.18,12.4,79.0,9.3,81.0,27.1,33.0,51.3,West,0
24,24,24,24,New York Islanders,19981999,82,24,48,10,--,58,0.354,23,24,0,194,244,2.37,2.98,15.8,83.5,13.8,85.7,26.3,28.4,50.6,East,0
25,25,25,25,Vancouver Canucks,19981999,82,23,47,12,--,58,0.354,23,23,0,192,258,2.34,3.15,15.9,82.9,13.4,86.7,23.7,29.4,50.2,West,0
26,26,26,26,Tampa Bay Lightning,19981999,82,19,54,9,--,47,0.287,18,19,0,179,292,2.18,3.56,13.9,82.4,10.7,85.3,26.0,32.1,47.1,East,0
