,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,New York Rangers,19931994,84,52,24,8,--,112,0.667,49,52,0,299,231,3.56,2.75,23.0,84.6,21.8,89.2,34.2,27.7,--,East,1
1,1,1,1,New Jersey Devils,19931994,84,47,25,12,--,106,0.631,46,47,0,306,220,3.64,2.62,18.3,81.1,15.9,83.8,31.6,29.0,--,East,1
2,2,2,2,Pittsburgh Penguins,19931994,84,44,27,13,--,101,0.601,40,44,0,299,285,3.56,3.39,18.8,82.0,16.1,83.5,32.5,31.9,--,East,1
3,3,3,3,Detroit Red Wings,19931994,84,46,30,8,--,100,0.595,41,46,0,356,275,4.24,3.27,20.8,80.9,17.4,86.7,35.6,27.4,--,East,1
4,4,4,4,Toronto Maple Leafs,19931994,84,43,29,12,--,98,0.583,39,43,0,280,243,3.33,2.89,19.2,81.9,17.2,83.9,30.1,30.4,--,East,1
5,5,5,5,Boston Bruins,19931994,84,42,29,13,--,97,0.5770000000000001,40,42,0,289,252,3.44,3.0,21.7,84.7,19.4,89.2,35.5,25.2,--,East,1
6,6,6,6,Calgary Flames,19931994,84,42,29,13,--,97,0.5770000000000001,39,42,0,302,256,3.6,3.05,21.2,80.7,19.0,84.1,31.4,27.5,--,West,1
7,7,7,7,Dallas Stars,19931994,84,42,29,13,--,97,0.5770000000000001,36,42,0,286,265,3.4,3.15,18.4,84.1,14.8,86.0,30.5,30.8,--,West,1
8,8,8,8,Montréal Canadiens,19931994,84,41,29,14,--,96,0.5710000000000001,38,41,0,283,248,3.37,2.95,20.1,82.6,17.5,84.6,31.2,30.2,--,East,1
9,9,9,9,Buffalo Sabres,19931994,84,43,32,9,--,95,0.565,43,43,0,282,218,3.36,2.6,22.6,84.7,20.8,90.3,28.2,29.3,--,East,1
10,10,10,10,St. Louis Blues,19931994,84,40,33,11,--,91,0.542,36,40,0,270,283,3.21,3.37,20.5,81.2,17.1,85.6,30.6,35.1,--,West,1
11,11,11,11,Washington Capitals,19931994,84,39,35,10,--,88,0.524,37,39,0,277,263,3.3,3.13,18.1,81.6,15.0,83.6,31.0,25.9,--,East,1
12,12,12,12,Chicago Blackhawks,19931994,84,39,36,9,--,87,0.518,37,39,0,254,240,3.02,2.86,17.5,83.4,14.9,86.9,30.3,29.3,--,West,1
13,13,13,13,Vancouver Canucks,19931994,84,41,40,3,--,85,0.506,36,41,0,279,276,3.32,3.29,18.8,81.7,16.3,84.7,31.3,27.2,--,West,1
14,14,14,14,New York Islanders,19931994,84,36,36,12,--,84,0.5,31,36,0,282,264,3.36,3.14,20.1,81.1,17.6,84.7,29.9,30.5,--,East,1
15,15,15,15,Florida Panthers,19931994,84,33,34,17,--,83,0.494,31,33,0,233,233,2.77,2.77,15.9,82.6,12.2,84.6,27.3,33.4,--,East,0
16,16,16,16,San Jose Sharks,19931994,84,33,35,16,--,82,0.488,31,33,0,252,265,3.0,3.15,16.0,78.6,13.0,80.3,25.0,28.4,--,West,1
17,17,17,17,Philadelphia Flyers,19931994,84,35,39,10,--,80,0.47600000000000003,32,35,0,294,314,3.5,3.74,20.8,80.7,17.1,82.9,28.7,31.7,--,East,0
18,18,18,18,Quebec Nordiques,19931994,84,34,42,8,--,76,0.452,34,34,0,277,292,3.3,3.48,15.6,79.6,11.4,81.9,28.6,30.6,--,East,0
19,19,19,19,Anaheim Ducks,19931994,84,33,46,5,--,71,0.423,31,33,0,229,251,2.73,2.99,14.4,82.7,10.9,85.1,28.6,31.1,--,West,0
20,20,20,20,Tampa Bay Lightning,19931994,84,30,43,11,--,71,0.423,27,30,0,224,251,2.67,2.99,14.7,82.7,9.5,84.8,29.8,27.3,--,East,0
21,21,21,21,Los Angeles Kings,19931994,84,27,45,12,--,66,0.39299999999999996,24,27,0,294,322,3.5,3.83,20.7,80.5,18.9,84.6,33.0,36.3,--,West,0
22,22,22,22,Edmonton Oilers,19931994,84,25,45,14,--,64,0.381,24,25,0,261,305,3.11,3.63,18.4,80.6,16.2,81.1,30.3,34.4,--,West,0
23,23,23,23,Hartford Whalers,19931994,84,27,48,9,--,63,0.375,23,27,0,227,288,2.7,3.43,15.0,78.9,12.8,80.8,27.6,30.8,--,East,0
24,24,24,24,Winnipeg Jets (1979),19931994,84,24,51,9,--,57,0.33899999999999997,23,24,0,245,344,2.92,4.1,19.4,79.6,15.4,82.5,29.4,33.3,--,West,0
25,25,25,25,Ottawa Senators,19931994,84,14,61,9,--,37,0.22,10,14,0,201,397,2.39,4.73,14.5,73.3,11.3,75.5,25.6,33.0,--,East,0
