,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Vancouver Canucks,20112012,82,51,22,--,9,111,0.677,36,43,8,241,191,2.94,2.33,19.8,86.0,18.4,88.5,31.5,30.8,52.2,West,1
1,1,1,1,New York Rangers,20112012,82,51,24,--,7,109,0.665,39,47,4,222,182,2.71,2.22,15.7,86.2,14.3,89.2,28.5,27.8,50.0,East,1
2,2,2,2,St. Louis Blues,20112012,82,49,22,--,11,109,0.665,42,45,4,206,155,2.51,1.89,16.7,85.8,15.6,88.3,30.6,26.7,50.4,West,1
3,3,3,3,Pittsburgh Penguins,20112012,82,51,25,--,6,108,0.659,40,42,9,273,218,3.33,2.66,19.7,87.8,16.3,91.9,33.9,27.4,50.4,East,1
4,4,4,4,Nashville Predators,20112012,82,48,26,--,8,104,0.634,40,43,5,232,205,2.83,2.5,21.6,83.6,20.0,85.7,27.6,30.8,49.0,West,1
5,5,5,5,Philadelphia Flyers,20112012,82,47,26,--,9,103,0.628,37,43,4,260,225,3.17,2.74,19.7,81.8,17.0,83.7,32.2,28.4,48.3,East,1
6,6,6,6,Boston Bruins,20112012,82,49,29,--,4,102,0.622,38,40,9,260,199,3.17,2.43,17.2,83.5,16.8,86.5,32.4,29.8,54.5,East,1
7,7,7,7,New Jersey Devils,20112012,82,48,28,--,6,102,0.622,32,36,12,216,205,2.63,2.5,17.2,89.6,12.4,95.4,27.5,26.8,47.1,East,1
8,8,8,8,Detroit Red Wings,20112012,82,48,28,--,6,102,0.622,36,39,9,239,200,2.91,2.44,16.1,81.8,12.4,82.5,32.2,27.0,51.6,East,1
9,9,9,9,Chicago Blackhawks,20112012,82,45,26,--,11,101,0.616,34,38,7,241,231,2.94,2.82,15.2,78.1,14.1,81.1,31.5,28.6,50.6,West,1
10,10,10,10,Phoenix Coyotes,20112012,82,42,27,--,13,97,0.591,33,36,6,210,194,2.56,2.37,13.6,85.5,11.2,88.0,29.6,31.6,50.2,West,1
11,11,11,11,San Jose Sharks,20112012,82,43,29,--,10,96,0.585,31,34,9,219,205,2.67,2.5,21.1,76.9,19.6,78.2,33.8,28.6,53.3,West,1
12,12,12,12,Los Angeles Kings,20112012,82,40,27,--,15,95,0.579,31,34,6,188,170,2.29,2.07,17.0,87.0,16.3,90.1,30.6,27.4,51.5,West,1
13,13,13,13,Florida Panthers,20112012,82,38,26,--,18,94,0.573,31,32,6,197,216,2.4,2.63,18.5,79.5,16.4,81.2,29.7,30.5,50.6,East,1
14,14,14,14,Washington Capitals,20112012,82,42,32,--,8,92,0.561,31,38,4,218,226,2.66,2.76,16.7,81.6,12.7,82.7,28.0,30.2,50.0,East,1
15,15,15,15,Ottawa Senators,20112012,82,41,31,--,10,92,0.561,30,35,6,243,236,2.96,2.88,18.2,81.6,15.6,84.5,31.4,32.0,50.1,East,1
16,16,16,16,Calgary Flames,20112012,82,37,29,--,16,90,0.5489999999999999,32,34,3,199,217,2.43,2.65,17.7,84.3,15.4,85.5,27.5,30.8,46.2,West,0
17,17,17,17,Dallas Stars,20112012,82,42,35,--,5,89,0.5429999999999999,31,35,7,204,218,2.49,2.66,13.5,82.8,12.3,84.5,28.2,30.8,49.1,West,0
18,18,18,18,Buffalo Sabres,20112012,82,39,32,--,11,89,0.5429999999999999,27,32,7,211,223,2.57,2.72,17.1,81.7,14.3,83.7,29.2,31.4,49.5,East,0
19,19,19,19,Colorado Avalanche,20112012,82,41,35,--,6,88,0.537,25,32,9,199,218,2.43,2.66,18.4,83.0,16.6,84.8,31.5,29.6,51.6,West,0
20,20,20,20,Tampa Bay Lightning,20112012,82,38,36,--,8,84,0.512,25,35,3,232,278,2.83,3.39,15.2,79.2,10.8,79.9,27.2,30.5,48.6,East,0
21,21,21,21,Winnipeg Jets,20112012,82,37,35,--,10,84,0.512,27,33,4,221,242,2.7,2.95,17.9,80.1,14.7,81.2,30.1,30.1,49.0,West,0
22,22,22,22,Carolina Hurricanes,20112012,82,33,33,--,16,82,0.5,29,32,1,212,237,2.59,2.89,16.7,80.6,15.3,85.3,30.5,32.4,50.7,East,0
23,23,23,23,Minnesota Wild,20112012,82,35,36,--,11,81,0.494,22,24,11,166,217,2.02,2.65,15.1,82.1,13.6,83.9,26.5,31.4,51.2,West,0
24,24,24,24,Toronto Maple Leafs,20112012,82,35,37,--,10,80,0.488,26,31,4,227,259,2.77,3.16,18.4,77.3,16.1,79.3,28.3,30.8,51.7,East,0
25,25,25,25,Anaheim Ducks,20112012,82,34,36,--,12,80,0.488,29,31,3,201,224,2.45,2.73,16.6,82.0,14.8,83.4,27.9,28.9,47.4,West,0
26,26,26,26,New York Islanders,20112012,82,34,37,--,11,79,0.48200000000000004,24,27,7,196,251,2.39,3.06,18.5,80.5,16.5,82.2,29.4,30.1,48.0,East,0
27,27,27,27,Montréal Canadiens,20112012,82,31,35,--,16,78,0.47600000000000003,24,26,5,207,214,2.52,2.61,14.3,88.6,11.6,91.8,28.5,29.7,48.3,East,0
28,28,28,28,Edmonton Oilers,20112012,82,32,40,--,10,74,0.451,25,27,5,207,232,2.52,2.83,20.6,82.4,17.6,84.1,26.7,30.7,47.7,West,0
29,29,29,29,Columbus Blue Jackets,20112012,82,29,46,--,7,65,0.396,23,25,4,198,257,2.41,3.13,15.5,76.6,12.9,79.2,29.9,30.9,50.9,East,0
