,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Buffalo Sabres,20062007,82,53,22,--,7,113,0.6890000000000001,38,43,10,298,238,3.63,2.9,17.4,81.4,14.3,83.4,29.5,31.0,51.4,East,1
1,1,1,1,Detroit Red Wings,20062007,82,50,19,--,13,113,0.6890000000000001,45,48,2,252,191,3.07,2.33,17.1,84.6,14.3,87.5,33.8,24.6,53.6,East,1
2,2,2,2,Nashville Predators,20062007,82,51,23,--,8,110,0.6709999999999999,42,45,6,266,207,3.24,2.52,17.4,85.8,16.9,87.9,27.6,31.2,50.3,West,1
3,3,3,3,Anaheim Ducks,20062007,82,48,20,--,14,110,0.6709999999999999,39,44,4,254,198,3.1,2.41,22.4,85.1,21.4,86.1,31.5,27.4,51.9,West,1
4,4,4,4,San Jose Sharks,20062007,82,51,26,--,5,107,0.652,48,49,2,256,197,3.12,2.4,22.4,83.3,21.5,85.5,28.6,26.2,51.1,West,1
5,5,5,5,Dallas Stars,20062007,82,50,25,--,7,107,0.652,35,41,9,217,193,2.65,2.35,18.5,84.4,17.1,85.2,28.0,25.4,50.1,West,1
6,6,6,6,New Jersey Devils,20062007,82,49,24,--,9,107,0.652,36,39,10,206,193,2.51,2.35,17.7,85.2,14.7,86.7,28.7,28.4,49.0,East,1
7,7,7,7,Vancouver Canucks,20062007,82,49,26,--,7,105,0.64,32,44,5,217,197,2.65,2.4,17.2,86.9,15.2,88.1,29.3,29.2,49.2,West,1
8,8,8,8,Ottawa Senators,20062007,82,48,25,--,9,105,0.64,44,46,2,286,216,3.49,2.63,17.9,84.5,14.9,88.8,32.3,30.2,50.3,East,1
9,9,9,9,Pittsburgh Penguins,20062007,82,47,24,--,11,105,0.64,31,37,10,267,240,3.26,2.93,20.3,82.1,17.5,85.4,28.9,30.9,47.0,East,1
10,10,10,10,Minnesota Wild,20062007,82,48,26,--,8,104,0.634,31,38,10,225,184,2.74,2.24,19.0,86.0,16.8,88.6,29.6,28.8,47.6,West,1
11,11,11,11,Atlanta Thrashers,20062007,82,43,28,--,11,97,0.591,29,36,7,239,241,2.91,2.94,16.5,79.8,14.0,82.1,29.7,31.5,52.9,East,1
12,12,12,12,Calgary Flames,20062007,82,43,29,--,10,96,0.585,38,40,3,255,221,3.11,2.7,18.2,80.4,17.0,84.1,27.3,30.5,48.4,West,1
13,13,13,13,Colorado Avalanche,20062007,82,44,31,--,7,95,0.579,36,39,5,267,247,3.26,3.01,21.1,80.2,18.7,82.2,31.7,29.0,48.6,West,0
14,14,14,14,New York Rangers,20062007,82,42,30,--,10,94,0.573,30,33,9,233,211,2.84,2.57,18.5,83.8,17.0,86.5,31.5,28.4,49.9,East,1
15,15,15,15,Tampa Bay Lightning,20062007,82,44,33,--,5,93,0.5670000000000001,29,34,10,243,259,2.96,3.16,18.5,78.4,15.5,83.0,29.5,27.2,48.9,East,1
16,16,16,16,New York Islanders,20062007,82,40,30,--,12,92,0.561,30,32,8,240,235,2.93,2.87,18.1,81.8,15.5,83.4,30.0,32.6,51.6,East,1
17,17,17,17,Toronto Maple Leafs,20062007,82,40,31,--,11,91,0.555,32,36,4,254,262,3.1,3.2,17.7,78.5,15.0,79.2,32.7,28.4,51.9,East,0
18,18,18,18,Montréal Canadiens,20062007,82,42,34,--,6,90,0.5489999999999999,34,36,6,239,251,2.91,3.06,22.8,83.5,21.2,87.6,29.6,32.7,49.5,East,0
19,19,19,19,Carolina Hurricanes,20062007,82,40,34,--,8,88,0.537,34,40,0,241,248,2.94,3.02,15.0,84.6,13.2,87.6,31.2,28.5,52.3,East,0
20,20,20,20,Florida Panthers,20062007,82,35,31,--,16,86,0.524,30,33,2,245,249,2.99,3.04,18.1,82.4,16.3,83.5,33.3,29.3,47.9,East,0
21,21,21,21,St. Louis Blues,20062007,82,34,35,--,13,81,0.494,24,28,6,208,248,2.54,3.02,12.1,80.0,9.5,81.6,26.9,28.9,51.1,West,0
22,22,22,22,Boston Bruins,20062007,82,35,41,--,6,76,0.46299999999999997,22,26,9,210,285,2.56,3.48,17.2,81.7,12.9,83.5,28.9,33.5,48.3,East,0
