,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Detroit Red Wings,20032004,82,48,21,11,2,109,0.665,41,48,0,255,189,3.11,2.3,20.1,86.8,18.5,91.5,30.3,26.2,52.5,East,1
1,1,1,1,Tampa Bay Lightning,20032004,82,46,22,8,6,106,0.6459999999999999,42,46,0,245,192,2.99,2.34,16.2,84.9,15.0,90.3,30.0,25.4,50.0,East,1
2,2,2,2,San Jose Sharks,20032004,82,43,21,12,6,104,0.634,40,43,0,219,183,2.67,2.23,16.6,85.3,14.0,88.1,28.0,28.9,48.5,West,1
3,3,3,3,Boston Bruins,20032004,82,41,19,15,7,104,0.634,33,41,0,209,188,2.55,2.29,16.0,83.6,11.7,85.7,30.5,27.8,52.1,East,1
4,4,4,4,Toronto Maple Leafs,20032004,82,45,24,10,3,103,0.628,41,45,0,242,204,2.95,2.49,20.1,83.4,18.0,85.5,27.5,26.4,52.1,East,1
5,5,5,5,Ottawa Senators,20032004,82,43,23,10,6,102,0.622,40,43,0,262,189,3.2,2.3,21.6,83.6,19.4,85.3,29.5,24.9,47.1,East,1
6,6,6,6,Vancouver Canucks,20032004,82,43,24,10,5,101,0.616,32,43,0,235,194,2.87,2.37,15.0,86.0,12.8,87.4,29.0,26.6,51.2,West,1
7,7,7,7,Philadelphia Flyers,20032004,82,40,21,15,6,101,0.616,38,40,0,229,186,2.79,2.27,20.7,83.3,19.8,85.3,29.4,25.5,50.3,East,1
8,8,8,8,New Jersey Devils,20032004,82,43,25,12,2,100,0.61,36,43,0,213,164,2.6,2.0,16.4,85.3,14.7,88.4,29.7,24.4,49.2,East,1
9,9,9,9,Colorado Avalanche,20032004,82,40,22,13,7,100,0.61,32,40,0,236,198,2.88,2.41,20.4,83.8,16.5,85.7,29.4,28.4,50.0,West,1
10,10,10,10,Dallas Stars,20032004,82,41,26,13,2,97,0.591,38,41,0,194,175,2.37,2.13,15.9,85.9,12.5,87.5,26.8,23.2,51.4,West,1
11,11,11,11,Calgary Flames,20032004,82,42,30,7,3,94,0.573,39,42,0,200,176,2.44,2.15,15.1,84.7,14.6,87.9,27.4,25.5,50.7,West,1
12,12,12,12,Montréal Canadiens,20032004,82,41,30,7,4,93,0.5670000000000001,36,41,0,208,192,2.54,2.34,17.2,82.5,15.4,84.1,27.7,28.6,51.7,East,1
13,13,13,13,St. Louis Blues,20032004,82,39,30,11,2,91,0.555,28,39,0,191,198,2.33,2.41,17.9,84.6,14.7,86.5,27.1,25.6,49.9,West,1
14,14,14,14,New York Islanders,20032004,82,38,29,11,4,91,0.555,36,38,0,237,210,2.89,2.56,16.7,85.5,15.2,88.6,28.5,27.4,49.3,East,1
15,15,15,15,Nashville Predators,20032004,82,38,29,11,4,91,0.555,31,38,0,216,217,2.63,2.65,16.9,81.8,15.0,85.8,27.2,28.5,48.9,West,1
16,16,16,16,Edmonton Oilers,20032004,82,36,29,12,5,89,0.5429999999999999,30,36,0,221,208,2.7,2.54,13.0,81.1,10.7,84.8,28.4,26.5,50.9,West,0
17,17,17,17,Buffalo Sabres,20032004,82,37,34,7,4,85,0.518,35,37,0,220,221,2.68,2.7,15.8,84.8,13.4,86.8,28.1,28.5,50.3,East,0
18,18,18,18,Minnesota Wild,20032004,82,30,29,20,3,83,0.506,29,30,0,188,183,2.29,2.23,13.6,84.5,11.5,86.9,24.2,29.1,46.7,West,0
19,19,19,19,Los Angeles Kings,20032004,82,28,29,16,9,81,0.494,26,28,0,205,217,2.5,2.65,14.0,80.7,12.9,83.3,28.6,27.0,51.1,West,0
20,20,20,20,Atlanta Thrashers,20032004,82,33,37,8,4,78,0.47600000000000003,27,33,0,214,243,2.61,2.96,14.7,85.2,13.0,88.0,26.1,29.4,46.7,East,0
21,21,21,21,Anaheim Ducks,20032004,82,29,35,10,8,76,0.46299999999999997,25,29,0,184,213,2.24,2.6,18.1,84.7,16.8,86.1,29.7,29.8,55.3,West,0
22,22,22,22,Carolina Hurricanes,20032004,82,28,34,14,6,76,0.46299999999999997,23,28,0,172,209,2.1,2.55,10.7,81.6,8.3,84.1,29.2,26.2,54.9,East,0
23,23,23,23,Florida Panthers,20032004,82,28,35,15,4,75,0.457,23,28,0,188,221,2.29,2.7,16.8,86.4,12.9,88.2,27.7,34.5,46.1,East,0
24,24,24,24,New York Rangers,20032004,82,27,40,7,8,69,0.42100000000000004,24,27,0,206,250,2.51,3.05,14.3,79.4,11.8,80.9,29.5,29.2,51.4,East,0
25,25,25,25,Phoenix Coyotes,20032004,82,22,36,18,6,68,0.415,17,22,0,188,245,2.29,2.99,14.3,82.2,12.0,84.4,26.5,30.6,48.9,West,0
26,26,26,26,Columbus Blue Jackets,20032004,82,25,45,8,4,62,0.37799999999999995,19,25,0,177,238,2.16,2.9,14.5,85.2,11.0,86.7,27.8,32.0,47.8,East,0
27,27,27,27,Washington Capitals,20032004,82,23,46,10,3,59,0.36,22,23,0,186,253,2.27,3.09,19.2,81.3,17.7,82.3,23.7,31.5,49.0,East,0
28,28,28,28,Chicago Blackhawks,20032004,82,20,43,11,8,59,0.36,16,20,0,188,259,2.29,3.16,15.8,83.5,11.8,84.8,29.3,30.7,49.4,West,0
29,29,29,29,Pittsburgh Penguins,20032004,82,23,47,8,4,58,0.354,16,23,0,190,303,2.32,3.7,18.1,77.2,13.9,79.1,24.7,33.2,47.2,East,0
