,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Detroit Red Wings,20052006,82,58,16,--,8,124,0.7559999999999999,51,54,4,301,206,3.67,2.51,22.1,85.5,20.0,87.0,34.1,26.6,52.9,East,1
1,1,1,1,Ottawa Senators,20052006,82,52,21,--,9,113,0.6890000000000001,48,50,2,312,205,3.8,2.5,20.8,84.7,18.6,89.9,34.3,28.6,50.3,East,1
2,2,2,2,Dallas Stars,20052006,82,53,23,--,6,112,0.6829999999999999,38,41,12,253,217,3.09,2.65,17.7,83.7,16.3,85.7,28.5,25.6,50.3,West,1
3,3,3,3,Carolina Hurricanes,20052006,82,52,22,--,8,112,0.6829999999999999,40,44,8,286,258,3.49,3.15,17.9,81.8,15.4,85.6,31.1,30.5,51.7,East,1
4,4,4,4,Buffalo Sabres,20052006,82,52,24,--,6,110,0.6709999999999999,41,47,5,276,234,3.37,2.85,21.2,86.6,17.6,88.8,30.6,30.5,49.7,East,1
5,5,5,5,Nashville Predators,20052006,82,49,25,--,8,106,0.6459999999999999,40,43,6,253,224,3.09,2.73,18.4,84.6,15.8,86.9,29.0,32.5,53.8,West,1
6,6,6,6,Calgary Flames,20052006,82,46,25,--,11,103,0.628,42,44,2,216,193,2.63,2.35,18.2,84.3,16.7,85.8,28.0,27.6,50.4,West,1
7,7,7,7,New Jersey Devils,20052006,82,46,27,--,9,101,0.616,33,37,9,233,225,2.84,2.74,17.8,81.9,16.4,82.8,29.2,29.3,49.5,East,1
8,8,8,8,Philadelphia Flyers,20052006,82,45,26,--,11,101,0.616,34,41,4,263,253,3.21,3.09,18.0,79.1,16.7,83.2,31.1,28.9,49.5,East,1
9,9,9,9,New York Rangers,20052006,82,44,26,--,12,100,0.61,33,37,7,250,211,3.05,2.57,18.9,83.7,16.8,84.6,29.9,28.8,47.5,East,1
10,10,10,10,San Jose Sharks,20052006,82,44,27,--,11,99,0.604,34,43,1,265,235,3.23,2.87,18.2,80.7,16.0,83.2,30.3,26.6,48.4,West,1
11,11,11,11,Anaheim Ducks,20052006,82,43,27,--,12,98,0.598,37,40,3,251,222,3.06,2.71,18.1,83.5,15.4,85.3,31.5,29.6,50.8,West,1
12,12,12,12,Colorado Avalanche,20052006,82,43,30,--,9,95,0.579,37,40,3,280,251,3.41,3.06,18.8,84.6,16.3,87.0,30.0,29.5,48.1,West,1
