,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Washington Capitals,20092010,82,54,15,--,13,121,0.738,43,49,5,313,227,3.82,2.77,25.2,78.8,22.7,80.1,32.8,30.9,51.5,East,1
1,1,1,1,San Jose Sharks,20092010,82,51,20,--,11,113,0.6890000000000001,43,44,7,257,209,3.13,2.55,21.0,85.0,18.1,87.5,31.7,31.4,55.6,West,1
2,2,2,2,Chicago Blackhawks,20092010,82,52,22,--,8,112,0.6829999999999999,37,43,9,262,203,3.2,2.48,17.7,85.3,16.3,90.2,34.1,25.1,52.4,West,1
3,3,3,3,Phoenix Coyotes,20092010,82,50,25,--,7,107,0.652,31,36,14,211,196,2.57,2.39,14.7,84.5,12.4,85.5,30.5,29.6,50.0,West,1
4,4,4,4,Vancouver Canucks,20092010,82,49,28,--,5,103,0.628,41,45,4,268,218,3.27,2.66,20.9,81.6,19.1,84.4,30.9,29.5,51.4,West,1
5,5,5,5,New Jersey Devils,20092010,82,48,27,--,7,103,0.628,40,42,6,216,186,2.63,2.27,18.7,82.9,16.9,85.8,30.0,27.0,49.4,East,1
6,6,6,6,Detroit Red Wings,20092010,82,44,24,--,14,102,0.622,33,38,6,223,207,2.72,2.52,19.2,83.9,18.9,86.9,33.4,29.4,51.1,East,1
7,7,7,7,Pittsburgh Penguins,20092010,82,47,28,--,7,101,0.616,33,39,8,249,235,3.04,2.87,17.2,84.1,14.7,86.2,32.8,28.7,49.3,East,1
8,8,8,8,Los Angeles Kings,20092010,82,46,27,--,9,101,0.616,32,36,10,231,211,2.82,2.57,20.9,80.3,18.9,81.6,29.1,27.6,50.6,West,1
9,9,9,9,Nashville Predators,20092010,82,47,29,--,6,100,0.61,33,39,8,217,221,2.65,2.7,16.4,77.1,14.3,79.1,30.6,29.2,49.2,West,1
10,10,10,10,Buffalo Sabres,20092010,82,45,27,--,10,100,0.61,35,41,4,231,201,2.82,2.45,17.6,86.6,16.6,88.0,31.6,31.4,48.6,East,1
11,11,11,11,Colorado Avalanche,20092010,82,43,30,--,9,95,0.579,34,36,7,237,228,2.89,2.78,18.1,80.2,15.2,82.8,27.9,32.1,47.7,West,1
12,12,12,12,Ottawa Senators,20092010,82,44,32,--,6,94,0.573,34,39,5,220,233,2.68,2.84,16.9,84.3,15.5,86.2,29.7,28.5,49.3,East,1
13,13,13,13,Boston Bruins,20092010,82,39,30,--,13,91,0.555,25,29,10,196,191,2.39,2.33,16.6,86.4,15.1,88.6,31.7,29.8,52.6,East,1
14,14,14,14,St. Louis Blues,20092010,82,40,32,--,10,90,0.5489999999999999,30,33,7,218,218,2.66,2.66,16.9,86.8,15.0,88.9,29.8,30.2,48.8,West,0
15,15,15,15,Calgary Flames,20092010,82,40,32,--,10,90,0.5489999999999999,35,37,3,201,203,2.45,2.48,16.0,82.3,15.3,84.9,28.7,28.9,48.0,West,0
16,16,16,16,Anaheim Ducks,20092010,82,39,32,--,11,89,0.5429999999999999,31,34,5,233,243,2.84,2.96,21.0,79.3,18.0,81.8,30.1,33.4,48.1,West,0
17,17,17,17,Philadelphia Flyers,20092010,82,41,35,--,6,88,0.537,35,37,4,232,222,2.83,2.71,21.5,83.0,18.9,84.8,31.6,28.6,50.1,East,1
18,18,18,18,Montréal Canadiens,20092010,82,39,33,--,10,88,0.537,24,32,7,210,218,2.56,2.66,21.8,83.0,18.8,84.2,28.6,32.1,49.7,East,1
19,19,19,19,Dallas Stars,20092010,82,37,31,--,14,88,0.537,28,30,7,230,244,2.8,2.98,18.6,77.4,16.2,80.6,30.8,31.2,48.1,West,0
20,20,20,20,New York Rangers,20092010,82,38,33,--,11,87,0.53,34,35,3,219,214,2.67,2.61,18.3,84.3,16.0,85.9,29.6,29.9,49.2,East,0
21,21,21,21,Minnesota Wild,20092010,82,38,36,--,8,84,0.512,28,33,5,214,239,2.61,2.91,19.1,82.7,14.9,84.0,27.6,29.5,52.2,West,0
22,22,22,22,Atlanta Thrashers,20092010,82,35,34,--,13,83,0.506,29,31,4,230,250,2.8,3.05,16.1,82.2,14.9,85.0,29.4,33.1,50.9,East,0
23,23,23,23,Carolina Hurricanes,20092010,82,35,37,--,10,80,0.488,26,31,4,226,251,2.76,3.06,16.9,80.6,14.5,82.8,29.3,31.4,48.1,East,0
24,24,24,24,Tampa Bay Lightning,20092010,82,34,36,--,12,80,0.488,25,30,4,213,253,2.6,3.09,19.3,80.1,17.5,80.7,28.9,31.4,51.5,East,0
25,25,25,25,New York Islanders,20092010,82,34,37,--,11,79,0.48200000000000004,20,26,8,214,258,2.61,3.15,16.0,76.3,15.0,78.7,30.4,31.9,48.2,East,0
26,26,26,26,Columbus Blue Jackets,20092010,82,32,35,--,15,79,0.48200000000000004,27,30,2,214,249,2.61,3.04,18.2,81.7,15.3,83.5,28.5,30.7,51.0,East,0
27,27,27,27,Florida Panthers,20092010,82,32,37,--,13,77,0.47,24,26,6,202,234,2.46,2.85,14.2,79.4,11.7,81.9,28.4,34.1,49.9,East,0
28,28,28,28,Toronto Maple Leafs,20092010,82,30,38,--,14,74,0.451,21,26,4,210,263,2.56,3.21,14.0,74.7,11.8,76.0,32.6,29.8,50.8,East,0
29,29,29,29,Edmonton Oilers,20092010,82,27,47,--,8,62,0.37799999999999995,18,19,8,206,278,2.51,3.39,17.3,78.0,15.6,80.0,28.3,33.1,46.4,West,0
