,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,New York Rangers,20142015,82,53,22,--,7,113,0.6890000000000001,43,49,4,248,187,3.02,2.28,16.8,84.3,14.2,88.1,31.5,29.5,46.7,East,1
1,1,1,1,Montréal Canadiens,20142015,82,50,22,--,10,110,0.6709999999999999,37,43,7,214,184,2.61,2.24,16.5,83.7,14.8,86.4,28.5,30.1,52.1,East,1
2,2,2,2,St. Louis Blues,20142015,82,51,24,--,7,109,0.665,37,42,9,239,197,2.91,2.4,22.3,83.7,20.3,84.4,30.9,27.2,53.4,West,1
3,3,3,3,Anaheim Ducks,20142015,82,51,24,--,7,109,0.665,35,43,8,228,221,2.78,2.7,15.7,81.0,13.2,84.3,30.0,28.9,51.7,West,1
4,4,4,4,Tampa Bay Lightning,20142015,82,50,24,--,8,108,0.659,43,47,3,259,206,3.16,2.51,18.8,83.7,16.7,86.4,29.6,27.9,49.7,East,1
5,5,5,5,Nashville Predators,20142015,82,47,25,--,10,104,0.634,33,41,6,226,202,2.76,2.46,16.2,80.8,14.3,82.5,31.9,28.3,48.9,West,1
6,6,6,6,Chicago Blackhawks,20142015,82,48,28,--,6,102,0.622,36,39,9,220,186,2.68,2.27,17.6,83.4,14.9,84.8,33.9,30.2,52.1,West,1
7,7,7,7,Vancouver Canucks,20142015,82,48,29,--,5,101,0.616,36,42,6,236,220,2.88,2.68,19.3,85.7,18.5,88.0,29.9,29.8,46.7,West,1
8,8,8,8,New York Islanders,20142015,82,47,28,--,7,101,0.616,34,40,7,245,224,2.99,2.73,18.7,78.0,17.6,82.6,33.8,28.3,49.2,East,1
9,9,9,9,Washington Capitals,20142015,82,45,26,--,11,101,0.616,35,40,5,237,199,2.89,2.43,25.3,81.2,23.6,82.7,29.5,28.9,51.3,East,1
10,10,10,10,Minnesota Wild,20142015,82,46,28,--,8,100,0.61,38,42,4,227,198,2.77,2.41,15.9,86.3,14.6,88.0,30.8,27.6,49.9,West,1
11,11,11,11,Detroit Red Wings,20142015,82,43,25,--,14,100,0.61,32,39,4,231,211,2.82,2.57,23.8,80.9,21.1,81.9,29.6,28.3,51.5,East,1
12,12,12,12,Ottawa Senators,20142015,82,43,26,--,13,99,0.604,30,37,6,232,208,2.83,2.54,16.8,82.9,13.9,85.2,31.0,32.1,48.2,East,1
13,13,13,13,Winnipeg Jets,20142015,82,43,26,--,13,99,0.604,32,36,7,223,204,2.72,2.49,17.8,81.8,16.0,85.1,29.7,28.7,48.9,West,1
