,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Colorado Avalanche,20002001,82,52,16,10,4,118,0.72,46,52,0,270,192,3.29,2.34,22.0,82.8,19.0,86.0,29.2,25.1,51.3,West,1
1,1,1,1,Detroit Red Wings,20002001,82,49,20,9,4,111,0.677,39,49,0,253,202,3.09,2.46,22.1,85.7,20.3,88.3,32.3,27.1,54.4,East,1
2,2,2,2,New Jersey Devils,20002001,82,48,19,12,3,111,0.677,43,48,0,295,195,3.6,2.38,22.9,84.7,21.0,87.5,31.6,24.7,49.4,East,1
3,3,3,3,Ottawa Senators,20002001,82,48,21,9,4,109,0.665,45,48,0,274,205,3.34,2.5,18.6,86.4,17.3,89.2,30.2,27.3,48.6,East,1
4,4,4,4,Dallas Stars,20002001,82,48,24,8,2,106,0.6459999999999999,42,48,0,241,187,2.94,2.28,19.6,86.2,17.7,88.2,25.6,24.9,51.2,West,1
5,5,5,5,St. Louis Blues,20002001,82,43,22,12,5,103,0.628,37,43,0,249,195,3.04,2.38,18.7,85.4,16.9,89.2,30.4,23.6,51.9,West,1
6,6,6,6,Philadelphia Flyers,20002001,82,43,25,11,3,100,0.61,38,43,0,240,207,2.93,2.52,15.7,82.5,13.1,86.0,29.9,26.1,50.3,East,1
7,7,7,7,Buffalo Sabres,20002001,82,46,30,5,1,98,0.598,42,46,0,218,184,2.66,2.24,16.1,88.0,14.8,89.8,26.9,26.8,50.0,East,1
8,8,8,8,Pittsburgh Penguins,20002001,82,42,28,9,3,96,0.585,39,42,0,281,256,3.43,3.12,20.3,80.7,17.3,82.5,29.2,29.2,46.7,East,1
9,9,9,9,Washington Capitals,20002001,82,41,27,10,4,96,0.585,39,41,0,233,211,2.84,2.57,21.3,84.1,19.3,85.7,28.6,27.7,55.2,East,1
10,10,10,10,San Jose Sharks,20002001,82,40,27,12,3,95,0.579,33,40,0,217,192,2.65,2.34,14.0,86.2,11.6,88.0,27.6,26.5,48.3,West,1
11,11,11,11,Edmonton Oilers,20002001,82,39,28,12,3,93,0.5670000000000001,34,39,0,243,222,2.96,2.71,14.8,83.8,13.8,87.2,26.2,26.1,51.1,West,1
12,12,12,12,Los Angeles Kings,20002001,82,38,28,13,3,92,0.561,35,38,0,252,228,3.07,2.78,19.4,81.2,17.7,84.8,27.9,26.3,50.7,West,1
13,13,13,13,Toronto Maple Leafs,20002001,82,37,29,11,5,90,0.5489999999999999,34,37,0,232,207,2.83,2.52,16.1,85.0,13.5,85.5,27.8,27.4,52.8,East,1
14,14,14,14,Vancouver Canucks,20002001,82,36,28,11,7,90,0.5489999999999999,31,36,0,239,238,2.91,2.9,17.1,80.9,14.4,84.0,29.7,25.9,46.9,West,1
15,15,15,15,Phoenix Coyotes,20002001,82,35,27,17,3,90,0.5489999999999999,32,35,0,214,212,2.61,2.59,16.6,85.2,14.9,87.3,25.1,29.6,49.8,West,0
16,16,16,16,Carolina Hurricanes,20002001,82,38,32,9,3,88,0.537,32,38,0,212,225,2.59,2.74,18.9,87.2,14.7,88.9,27.0,26.9,54.9,East,1
17,17,17,17,Boston Bruins,20002001,82,36,30,8,8,88,0.537,32,36,0,227,249,2.77,3.04,16.4,82.8,14.6,84.9,28.8,26.7,49.2,East,0
18,18,18,18,Nashville Predators,20002001,82,34,36,9,3,80,0.488,29,34,0,186,200,2.27,2.44,14.1,85.2,13.0,87.3,26.6,28.6,48.4,West,0
19,19,19,19,Calgary Flames,20002001,82,27,36,15,4,73,0.445,24,27,0,197,236,2.4,2.88,14.9,79.9,12.4,80.7,27.2,27.1,51.6,West,0
20,20,20,20,New York Rangers,20002001,82,33,43,5,1,72,0.439,28,33,0,250,290,3.05,3.54,17.9,78.5,14.6,82.5,28.6,31.4,51.2,East,0
21,21,21,21,Chicago Blackhawks,20002001,82,29,40,8,5,71,0.433,27,29,0,210,246,2.56,3.0,12.9,83.9,9.1,88.5,26.3,26.7,49.9,West,0
22,22,22,22,Columbus Blue Jackets,20002001,82,28,39,9,6,71,0.433,25,28,0,190,233,2.32,2.84,14.7,80.7,12.6,81.5,25.4,30.2,50.5,East,0
23,23,23,23,Montréal Canadiens,20002001,82,28,40,8,6,70,0.4270000000000001,26,28,0,206,232,2.51,2.83,16.2,82.2,15.4,83.7,26.2,28.0,49.5,East,0
24,24,24,24,Minnesota Wild,20002001,82,25,39,13,5,68,0.415,21,25,0,168,210,2.05,2.56,9.6,84.7,5.9,88.2,24.6,28.1,48.1,West,0
25,25,25,25,Anaheim Ducks,20002001,82,25,41,11,5,66,0.402,21,25,0,188,245,2.29,2.99,17.7,81.8,14.2,83.3,25.9,29.5,48.3,West,0
26,26,26,26,Florida Panthers,20002001,82,22,38,13,9,66,0.402,20,22,0,200,246,2.44,3.0,13.0,83.9,9.4,85.9,26.5,31.2,48.5,East,0
27,27,27,27,Atlanta Thrashers,20002001,82,23,45,12,2,60,0.366,21,23,0,211,289,2.57,3.52,13.7,77.9,11.7,80.2,27.9,32.4,46.1,East,0
28,28,28,28,Tampa Bay Lightning,20002001,82,24,47,6,5,59,0.36,22,24,0,201,280,2.45,3.41,12.5,82.9,9.9,85.1,24.6,31.2,46.9,East,0
29,29,29,29,New York Islanders,20002001,82,21,51,7,3,52,0.317,19,21,0,185,268,2.26,3.27,13.2,82.3,9.6,84.3,27.5,29.0,48.7,East,0
