,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,San Jose Sharks,20082009,82,53,18,--,11,117,0.713,43,47,6,251,199,3.06,2.43,24.2,83.3,21.1,87.3,33.2,27.2,53.8,West,1
1,1,1,1,Boston Bruins,20082009,82,53,19,--,10,116,0.7070000000000001,46,49,4,270,190,3.29,2.32,23.6,82.4,21.4,85.0,30.3,30.8,51.0,East,1
2,2,2,2,Detroit Red Wings,20082009,82,51,21,--,10,112,0.6829999999999999,42,45,6,289,240,3.52,2.93,25.5,78.3,24.4,80.1,36.2,27.7,55.1,East,1
3,3,3,3,Washington Capitals,20082009,82,50,24,--,8,108,0.659,40,46,4,268,240,3.27,2.93,25.2,80.6,22.0,82.4,33.5,29.5,51.7,East,1
4,4,4,4,New Jersey Devils,20082009,82,51,27,--,4,106,0.6459999999999999,36,45,6,238,207,2.9,2.52,18.9,79.9,17.6,83.6,32.9,29.5,51.3,East,1
5,5,5,5,Chicago Blackhawks,20082009,82,46,24,--,12,104,0.634,36,42,4,260,209,3.17,2.55,19.3,80.6,17.6,83.6,32.7,28.6,48.1,West,1
6,6,6,6,Vancouver Canucks,20082009,82,45,27,--,10,100,0.61,37,42,3,243,213,2.96,2.6,18.8,81.4,17.4,83.3,28.5,29.2,51.9,West,1
7,7,7,7,Pittsburgh Penguins,20082009,82,45,28,--,9,99,0.604,33,39,6,258,233,3.15,2.84,17.2,82.7,13.6,84.7,29.0,30.3,49.1,East,1
8,8,8,8,Philadelphia Flyers,20082009,82,44,27,--,11,99,0.604,34,40,4,260,232,3.17,2.83,22.5,83.0,22.2,87.0,29.8,32.5,48.3,East,1
9,9,9,9,Calgary Flames,20082009,82,46,30,--,6,98,0.598,40,43,3,251,246,3.06,3.0,17.0,83.4,12.9,85.1,32.2,29.8,51.3,West,1
10,10,10,10,Carolina Hurricanes,20082009,82,45,30,--,7,97,0.591,35,42,3,236,221,2.88,2.7,18.7,80.4,16.3,83.1,32.6,29.5,51.3,East,1
11,11,11,11,New York Rangers,20082009,82,43,30,--,9,95,0.579,30,33,10,200,212,2.44,2.59,13.9,87.8,9.8,90.6,32.4,29.7,50.9,East,1
12,12,12,12,Montréal Canadiens,20082009,82,41,30,--,11,93,0.5670000000000001,30,34,7,242,240,2.95,2.93,19.3,82.4,16.3,85.1,30.0,31.7,50.9,East,1
13,13,13,13,Florida Panthers,20082009,82,41,30,--,11,93,0.5670000000000001,34,38,3,231,223,2.82,2.72,16.6,82.6,13.6,84.9,29.4,34.7,47.9,East,0
14,14,14,14,St. Louis Blues,20082009,82,41,31,--,10,92,0.561,31,35,6,227,227,2.77,2.77,20.5,83.8,18.2,86.6,27.7,28.5,49.1,West,1
15,15,15,15,Columbus Blue Jackets,20082009,82,41,31,--,10,92,0.561,30,35,6,220,223,2.68,2.72,12.7,82.1,9.0,84.4,28.9,27.8,51.2,East,1
16,16,16,16,Anaheim Ducks,20082009,82,42,33,--,7,91,0.555,30,35,7,238,235,2.9,2.87,23.6,79.7,21.0,81.3,30.3,30.5,49.8,West,1
17,17,17,17,Buffalo Sabres,20082009,82,41,32,--,9,91,0.555,31,33,8,242,229,2.95,2.79,21.0,81.9,19.6,83.9,30.5,31.4,47.4,East,0
18,18,18,18,Minnesota Wild,20082009,82,40,33,--,9,89,0.5429999999999999,32,35,5,214,197,2.61,2.4,20.1,87.6,18.3,90.7,27.5,30.7,48.5,West,0
19,19,19,19,Nashville Predators,20082009,82,40,34,--,8,88,0.537,28,34,6,207,228,2.52,2.78,15.7,82.5,13.2,85.2,29.0,29.4,52.2,West,0
20,20,20,20,Edmonton Oilers,20082009,82,38,35,--,9,85,0.518,31,32,6,228,244,2.78,2.98,17.0,77.5,14.7,78.4,28.1,32.5,47.9,West,0
21,21,21,21,Ottawa Senators,20082009,82,36,35,--,11,83,0.506,29,32,4,213,231,2.6,2.82,19.5,81.5,18.0,83.8,29.3,28.5,51.8,East,0
22,22,22,22,Dallas Stars,20082009,82,36,35,--,11,83,0.506,25,30,6,224,251,2.73,3.06,15.4,78.6,14.3,79.2,28.9,28.1,47.8,West,0
23,23,23,23,Toronto Maple Leafs,20082009,82,34,35,--,13,81,0.494,24,28,6,244,286,2.98,3.49,18.8,74.7,16.7,76.6,31.7,30.3,50.1,East,0
24,24,24,24,Phoenix Coyotes,20082009,82,36,39,--,7,79,0.48200000000000004,32,33,3,205,249,2.5,3.04,14.5,76.8,13.4,78.5,28.1,31.6,44.8,West,0
25,25,25,25,Los Angeles Kings,20082009,82,34,37,--,11,79,0.48200000000000004,26,29,5,202,226,2.46,2.76,19.2,82.9,16.9,84.0,29.1,28.1,52.0,West,0
26,26,26,26,Atlanta Thrashers,20082009,82,35,41,--,6,76,0.46299999999999997,24,28,7,250,279,3.05,3.4,19.3,76.0,16.5,79.5,28.1,32.7,51.2,East,0
27,27,27,27,Colorado Avalanche,20082009,82,32,45,--,5,69,0.42100000000000004,20,23,9,190,253,2.32,3.09,15.7,79.9,13.2,81.1,28.8,29.0,47.8,West,0
28,28,28,28,Tampa Bay Lightning,20082009,82,24,40,--,18,66,0.402,19,21,3,207,269,2.52,3.28,17.8,78.0,15.2,79.0,28.5,32.9,50.2,East,0
29,29,29,29,New York Islanders,20082009,82,26,47,--,9,61,0.3720000000000001,20,23,3,198,274,2.41,3.34,16.9,79.8,15.3,83.1,28.9,33.5,45.7,East,0
