,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Washington Capitals,20162017,82,55,19,--,8,118,0.72,45,53,2,261,177,3.18,2.16,23.1,83.8,21.9,85.7,30.4,27.8,49.8,East,1
1,1,1,1,Pittsburgh Penguins,20162017,82,50,21,--,11,111,0.677,40,46,4,278,229,3.39,2.79,23.1,79.8,20.4,81.7,33.5,32.6,47.6,East,1
2,2,2,2,Chicago Blackhawks,20162017,82,50,23,--,9,109,0.665,37,46,4,240,212,2.93,2.59,18.0,77.7,15.0,78.2,30.6,31.4,47.5,West,1
3,3,3,3,Columbus Blue Jackets,20162017,82,50,24,--,8,108,0.659,39,48,2,247,193,3.01,2.35,19.9,82.5,19.0,87.0,31.0,30.4,48.6,East,1
4,4,4,4,Minnesota Wild,20162017,82,49,25,--,8,106,0.6459999999999999,42,46,3,263,206,3.21,2.51,21.0,83.0,19.6,85.3,30.8,30.1,52.0,West,1
5,5,5,5,Anaheim Ducks,20162017,82,46,23,--,13,105,0.64,40,43,3,220,197,2.68,2.4,18.7,84.7,15.9,87.9,29.6,29.6,54.7,West,1
6,6,6,6,Montréal Canadiens,20162017,82,47,26,--,9,103,0.628,33,44,3,223,198,2.72,2.41,19.7,81.1,17.0,83.1,30.0,29.6,50.3,East,1
7,7,7,7,Edmonton Oilers,20162017,82,47,26,--,9,103,0.628,37,43,4,243,207,2.96,2.52,22.9,80.7,20.8,82.5,31.1,29.5,47.0,West,1
8,8,8,8,New York Rangers,20162017,82,48,28,--,6,102,0.622,40,45,3,253,216,3.09,2.63,20.2,79.8,18.0,83.9,29.7,30.1,48.4,East,1
9,9,9,9,St. Louis Blues,20162017,82,46,29,--,7,99,0.604,38,44,2,233,216,2.84,2.63,21.3,84.8,19.2,85.9,28.4,28.4,50.3,West,1
10,10,10,10,San Jose Sharks,20162017,82,46,29,--,7,99,0.604,38,44,2,219,200,2.67,2.44,16.7,80.7,14.2,84.0,29.9,27.7,48.1,West,1
11,11,11,11,Ottawa Senators,20162017,82,44,28,--,10,98,0.598,34,38,6,206,210,2.51,2.56,17.0,79.7,15.8,82.5,30.0,30.1,51.0,East,1
12,12,12,12,Boston Bruins,20162017,82,44,31,--,7,95,0.579,38,42,2,232,209,2.83,2.55,21.7,85.7,19.3,89.4,33.2,26.8,53.2,East,1
13,13,13,13,Toronto Maple Leafs,20162017,82,40,27,--,15,95,0.579,33,39,1,250,234,3.05,2.85,23.8,82.5,20.9,84.9,31.9,32.6,49.9,East,1
14,14,14,14,Calgary Flames,20162017,82,45,33,--,4,94,0.573,32,41,4,222,219,2.71,2.67,20.2,81.6,18.3,84.5,29.1,28.7,48.9,West,1
15,15,15,15,Tampa Bay Lightning,20162017,82,42,30,--,10,94,0.573,32,38,4,230,224,2.8,2.73,22.8,81.4,19.9,83.0,29.9,30.4,47.7,East,0
16,16,16,16,New York Islanders,20162017,82,41,29,--,12,94,0.573,33,39,2,239,238,2.91,2.9,15.0,81.9,12.0,84.1,30.2,31.9,47.7,East,0
17,17,17,17,Nashville Predators,20162017,82,41,29,--,12,94,0.573,35,39,2,238,220,2.9,2.68,18.9,80.9,16.6,85.9,31.2,30.1,51.4,West,1
18,18,18,18,Philadelphia Flyers,20162017,82,39,33,--,10,88,0.537,25,32,7,212,231,2.59,2.82,19.5,79.8,16.3,81.4,31.5,28.5,52.3,East,0
19,19,19,19,Winnipeg Jets,20162017,82,40,35,--,7,87,0.53,33,37,3,246,255,3.0,3.11,18.2,77.5,14.8,81.1,29.9,31.0,48.5,West,0
20,20,20,20,Carolina Hurricanes,20162017,82,36,31,--,15,87,0.53,28,33,3,212,230,2.59,2.8,17.8,84.2,15.2,89.1,30.4,28.3,53.1,East,0
21,21,21,21,Los Angeles Kings,20162017,82,39,35,--,8,86,0.524,25,37,2,199,201,2.43,2.45,19.1,84.6,17.8,86.6,31.1,25.9,50.8,West,0
22,22,22,22,Florida Panthers,20162017,82,35,36,--,11,81,0.494,23,30,5,205,231,2.5,2.82,17.0,85.3,14.0,88.6,32.2,31.6,47.9,East,0
23,23,23,23,Dallas Stars,20162017,82,34,37,--,11,79,0.48200000000000004,28,33,1,222,260,2.71,3.17,17.9,73.9,13.6,75.9,30.5,29.7,49.9,West,0
24,24,24,24,Detroit Red Wings,20162017,82,33,36,--,13,79,0.48200000000000004,17,24,9,198,244,2.41,2.98,15.1,80.9,11.5,82.1,28.5,30.6,51.9,East,0
25,25,25,25,Buffalo Sabres,20162017,82,33,37,--,12,78,0.47600000000000003,25,31,2,199,231,2.43,2.82,24.5,77.6,22.8,78.9,30.4,34.3,49.6,East,0
26,26,26,26,Arizona Coyotes,20162017,82,30,42,--,10,70,0.4270000000000001,20,24,6,191,258,2.33,3.15,16.2,77.3,13.2,80.4,27.8,34.1,48.0,West,0
27,27,27,27,New Jersey Devils,20162017,82,28,40,--,14,70,0.4270000000000001,18,25,3,180,241,2.2,2.94,17.5,79.6,12.8,81.9,27.8,31.4,49.2,East,0
28,28,28,28,Vancouver Canucks,20162017,82,30,43,--,9,69,0.42100000000000004,19,26,4,178,241,2.17,2.94,14.1,76.7,11.5,77.6,27.7,31.8,51.2,West,0
29,29,29,29,Colorado Avalanche,20162017,82,22,56,--,4,48,0.293,14,21,1,165,276,2.01,3.37,12.6,76.6,11.7,78.5,28.1,31.7,53.6,West,0
