,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Nashville Predators,20172018,82,53,18,--,11,117,0.713,42,47,6,261,204,3.18,2.49,21.3,81.9,19.4,85.3,32.2,32.4,53.3,West,1
1,1,1,1,Winnipeg Jets,20172018,82,52,20,--,10,114,0.695,43,48,4,273,216,3.33,2.63,23.4,81.8,20.8,85.0,32.2,31.9,52.4,West,1
2,2,2,2,Tampa Bay Lightning,20172018,82,54,23,--,5,113,0.6890000000000001,42,48,6,290,234,3.54,2.85,23.9,76.1,22.8,79.5,32.7,32.7,48.2,East,1
3,3,3,3,Boston Bruins,20172018,82,50,20,--,12,112,0.6829999999999999,41,47,3,267,211,3.26,2.57,23.6,83.7,19.7,87.4,33.0,29.3,50.8,East,1
4,4,4,4,Vegas Golden Knights,20172018,82,51,24,--,7,109,0.665,39,47,4,268,225,3.27,2.74,21.0,81.4,19.0,84.8,32.8,30.7,48.9,West,1
5,5,5,5,Toronto Maple Leafs,20172018,82,49,26,--,7,105,0.64,37,42,7,270,230,3.29,2.8,25.0,81.4,22.8,83.1,32.2,33.9,51.8,East,1
6,6,6,6,Washington Capitals,20172018,82,49,26,--,7,105,0.64,38,46,3,256,238,3.12,2.9,22.5,80.3,19.3,81.8,29.0,31.9,50.4,East,1
7,7,7,7,Minnesota Wild,20172018,82,45,26,--,11,101,0.616,38,42,3,250,229,3.05,2.79,20.4,81.3,17.9,83.8,30.2,31.3,49.8,West,1
8,8,8,8,Anaheim Ducks,20172018,82,44,25,--,13,101,0.616,35,40,4,231,209,2.82,2.55,17.8,83.2,15.9,86.9,30.2,33.1,51.3,West,1
9,9,9,9,Pittsburgh Penguins,20172018,82,47,29,--,6,100,0.61,33,45,2,270,248,3.29,3.02,26.2,80.0,25.0,82.3,34.4,31.1,50.3,East,1
10,10,10,10,San Jose Sharks,20172018,82,45,27,--,10,100,0.61,35,40,5,247,226,3.01,2.76,20.6,84.8,19.5,88.4,33.0,30.3,51.3,West,1
11,11,11,11,Los Angeles Kings,20172018,82,45,29,--,8,98,0.598,34,43,2,237,202,2.89,2.46,20.4,85.0,18.8,86.9,31.0,30.9,49.7,West,1
12,12,12,12,Philadelphia Flyers,20172018,82,42,26,--,14,98,0.598,31,40,2,249,236,3.04,2.88,20.7,75.8,16.9,77.1,32.1,29.9,53.3,East,1
13,13,13,13,Columbus Blue Jackets,20172018,82,45,30,--,7,97,0.591,30,39,6,236,226,2.88,2.76,17.2,76.2,14.1,78.0,33.7,31.3,48.4,East,1
14,14,14,14,New Jersey Devils,20172018,82,44,29,--,9,97,0.591,33,39,5,243,240,2.96,2.93,21.4,81.8,19.1,86.4,31.7,31.9,47.0,East,1
15,15,15,15,Florida Panthers,20172018,82,44,30,--,8,96,0.585,38,41,3,245,243,2.99,2.96,18.9,80.2,16.9,84.6,34.4,34.6,50.7,East,0
16,16,16,16,Colorado Avalanche,20172018,82,43,30,--,9,95,0.579,35,41,2,255,236,3.11,2.88,22.0,83.3,17.6,85.9,29.7,33.3,44.2,West,1
17,17,17,17,St. Louis Blues,20172018,82,44,32,--,6,94,0.573,33,41,3,223,222,2.72,2.71,15.5,79.7,11.8,81.8,32.6,29.7,50.6,West,0
18,18,18,18,Dallas Stars,20172018,82,42,32,--,8,92,0.561,33,38,4,231,222,2.82,2.71,19.3,80.8,15.2,83.3,31.2,29.8,52.5,West,0
19,19,19,19,Calgary Flames,20172018,82,37,35,--,10,84,0.512,28,35,2,216,243,2.63,2.96,16.0,81.8,13.4,84.4,33.6,31.1,49.4,West,0
