,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,0,0,0,Detroit Red Wings,20012002,82,51,17,10,4,116,0.7070000000000001,41,51,0,251,187,3.06,2.28,20.3,86.0,18.4,88.6,31.0,26.3,51.4,East,1
1,1,1,1,Boston Bruins,20012002,82,43,24,6,9,101,0.616,34,43,0,236,201,2.88,2.45,13.8,87.1,12.0,91.1,31.7,25.1,48.0,East,1
2,2,2,2,Toronto Maple Leafs,20012002,82,43,25,10,4,100,0.61,40,43,0,249,207,3.04,2.52,15.5,84.5,13.8,87.2,28.5,24.9,51.8,East,1
3,3,3,3,Colorado Avalanche,20012002,82,45,28,8,1,99,0.604,41,45,0,212,169,2.59,2.06,18.0,87.0,16.0,89.2,27.5,26.5,51.4,West,1
4,4,4,4,San Jose Sharks,20012002,82,44,27,8,3,99,0.604,42,44,0,248,199,3.02,2.43,15.7,85.8,14.1,89.8,27.2,28.5,49.0,West,1
5,5,5,5,St. Louis Blues,20012002,82,43,27,8,4,98,0.598,37,43,0,227,188,2.77,2.29,17.4,85.2,15.5,86.5,29.0,22.5,49.9,West,1
6,6,6,6,Philadelphia Flyers,20012002,82,42,27,10,3,97,0.591,39,42,0,234,192,2.85,2.34,13.0,86.4,9.7,89.1,29.8,26.1,49.9,East,1
7,7,7,7,New York Islanders,20012002,82,42,28,8,4,96,0.585,36,42,0,239,220,2.91,2.68,16.3,85.8,13.5,90.4,28.3,27.9,51.7,East,1
8,8,8,8,Chicago Blackhawks,20012002,82,41,27,13,1,96,0.585,38,41,0,216,207,2.63,2.52,17.9,81.5,17.2,82.7,27.7,25.3,48.0,West,1
9,9,9,9,New Jersey Devils,20012002,82,41,28,9,4,95,0.579,35,41,0,205,187,2.5,2.28,16.9,83.8,13.8,84.5,29.8,23.2,49.5,East,1
10,10,10,10,Los Angeles Kings,20012002,82,40,27,11,4,95,0.579,37,40,0,214,190,2.61,2.32,20.7,86.6,19.0,88.0,25.7,25.0,51.2,West,1
11,11,11,11,Phoenix Coyotes,20012002,82,40,27,9,6,95,0.579,36,40,0,228,210,2.78,2.56,15.6,83.2,13.8,85.4,26.6,28.6,48.2,West,1
12,12,12,12,Vancouver Canucks,20012002,82,42,30,7,3,94,0.573,38,42,0,254,211,3.1,2.57,18.6,85.2,16.1,86.0,28.4,25.4,50.7,West,1
13,13,13,13,Ottawa Senators,20012002,82,39,27,9,7,94,0.573,36,39,0,243,208,2.96,2.54,16.6,84.4,15.1,88.0,30.1,25.9,50.1,East,1
14,14,14,14,Edmonton Oilers,20012002,82,38,28,12,4,92,0.561,35,38,0,205,182,2.5,2.22,15.3,85.6,13.2,89.1,27.5,25.9,50.4,West,0
15,15,15,15,Carolina Hurricanes,20012002,82,35,26,16,5,91,0.555,29,35,0,217,217,2.65,2.65,16.1,83.7,13.3,84.9,28.6,27.0,56.1,East,1
16,16,16,16,Dallas Stars,20012002,82,36,28,13,5,90,0.5489999999999999,33,36,0,215,213,2.62,2.6,17.1,81.5,14.9,83.7,28.5,26.0,52.8,West,0
17,17,17,17,Montréal Canadiens,20012002,82,36,31,12,3,87,0.53,34,36,0,207,209,2.52,2.55,15.0,86.3,13.6,88.8,25.5,31.7,52.8,East,1
18,18,18,18,Washington Capitals,20012002,82,36,33,11,2,85,0.518,30,36,0,228,240,2.78,2.93,19.4,82.2,16.7,82.8,28.0,28.7,53.3,East,0
19,19,19,19,Buffalo Sabres,20012002,82,35,35,11,1,82,0.5,31,35,0,213,200,2.6,2.44,13.3,86.5,11.7,88.8,28.0,25.9,47.4,East,0
20,20,20,20,New York Rangers,20012002,82,36,38,4,4,80,0.488,31,36,0,227,258,2.77,3.15,14.7,79.9,13.2,81.9,29.2,31.9,50.7,East,0
21,21,21,21,Calgary Flames,20012002,82,32,35,12,3,79,0.48200000000000004,30,32,0,201,220,2.45,2.68,15.1,81.5,13.7,84.3,26.9,27.3,52.5,West,0
22,22,22,22,Minnesota Wild,20012002,82,26,35,12,9,73,0.445,26,26,0,195,238,2.38,2.9,14.8,82.9,12.3,85.9,23.8,28.0,48.5,West,0
23,23,23,23,Anaheim Ducks,20012002,82,29,42,8,3,69,0.42100000000000004,26,29,0,175,198,2.13,2.41,11.5,86.1,9.1,87.3,26.1,27.5,51.0,West,0
24,24,24,24,Pittsburgh Penguins,20012002,82,28,41,8,5,69,0.42100000000000004,21,28,0,198,249,2.41,3.04,14.0,83.8,11.0,85.2,27.0,29.2,47.1,East,0
25,25,25,25,Nashville Predators,20012002,82,28,41,13,0,69,0.42100000000000004,23,28,0,196,230,2.39,2.8,14.2,85.9,11.9,87.6,24.6,28.2,47.0,West,0
26,26,26,26,Tampa Bay Lightning,20012002,82,27,40,11,4,69,0.42100000000000004,23,27,0,178,219,2.17,2.67,14.7,85.4,11.9,87.6,26.6,30.8,47.0,East,0
27,27,27,27,Florida Panthers,20012002,82,22,44,10,6,60,0.366,22,22,0,180,250,2.2,3.05,14.7,80.7,12.6,82.7,26.9,32.5,46.1,East,0
28,28,28,28,Columbus Blue Jackets,20012002,82,22,47,8,5,57,0.348,20,22,0,164,255,2.0,3.11,14.0,83.0,11.8,84.0,25.0,30.1,50.1,East,0
29,29,29,29,Atlanta Thrashers,20012002,82,19,47,11,5,54,0.32899999999999996,16,19,0,187,288,2.28,3.51,12.1,81.8,8.2,82.7,24.2,35.5,46.3,East,0
